architecture,head,feature_type,feature,mean_abs_shap,seed_sd,bootstrap_ci_low,bootstrap_ci_high,relative_importance_pct,relative_seed_sd_pp,n_seeds,n_households,n_integration_samples,cohort
lstm,freq,static,income,0.03212837874889374,0.008820862509310246,0.028659109957516193,0.035764847323298446,26.64833641052246,5.596231937408447,3,701,128,observed_demographics
lstm,freq,static,household_size,0.038789160549640656,0.007738856598734856,0.0345700821839273,0.04369788020849228,32.17300796508789,2.849377393722534,3,701,128,observed_demographics
lstm,freq,dynamic,coupon_redemptions_week,0.017995769158005714,0.005247248336672783,0.0157548304181546,0.020339792687445877,14.926283836364746,6.282023906707764,3,701,128,observed_demographics
lstm,freq,dynamic,campaign_active_flag,0.03165098652243614,0.011781372129917145,0.028983610589057206,0.03459308054298162,26.252370834350586,8.944144248962402,3,701,128,observed_demographics
lstm,spend,static,income,0.021675437688827515,0.005831569898873568,0.020199957443401216,0.02326233964413404,25.710002899169922,7.118980884552002,3,701,128,observed_demographics
lstm,spend,static,household_size,0.02224043942987919,0.004275273997336626,0.02068828446790576,0.023934320779517293,26.380168914794922,0.5062083601951599,3,701,128,observed_demographics
lstm,spend,dynamic,coupon_redemptions_week,0.013262537308037281,0.0037530234549194574,0.011724975635297596,0.014823333476670085,15.73116397857666,6.32829475402832,3,701,128,observed_demographics
lstm,spend,dynamic,campaign_active_flag,0.027129003778100014,0.011093354783952236,0.02569527141749859,0.028554626740515232,32.17866897583008,8.686805725097656,3,701,128,observed_demographics
transformer,freq,static,income,0.02626105211675167,0.001037892303429544,0.024377619475126268,0.028126198099926114,25.99236488342285,1.8036670684814453,3,701,128,observed_demographics
transformer,freq,static,household_size,0.02291981689631939,0.0030531371012330055,0.02026695627719164,0.025786028848960994,22.685314178466797,2.3668570518493652,3,701,128,observed_demographics
transformer,freq,dynamic,coupon_redemptions_week,0.01363359671086073,0.004835405852645636,0.011594636738300324,0.01567962202243507,13.49410629272461,3.429306745529175,3,701,128,observed_demographics
transformer,freq,dynamic,campaign_active_flag,0.038219254463911057,0.003240759950131178,0.03553339410573244,0.040951411705464125,37.828216552734375,1.376299500465393,3,701,128,observed_demographics
transformer,spend,static,income,0.02182473987340927,0.0010665648151189089,0.020270373672246933,0.02341001098975539,35.89613723754883,0.8487229347229004,3,701,128,observed_demographics
transformer,spend,static,household_size,0.014169308356940746,0.0017402501543983817,0.01320936952251941,0.01521524004638195,23.304903030395508,1.6983853578567505,3,701,128,observed_demographics
transformer,spend,dynamic,coupon_redemptions_week,0.007020167540758848,0.0004529690195340663,0.006188415945507586,0.007903092284686863,11.546387672424316,0.48889225721359253,3,701,128,observed_demographics
transformer,spend,dynamic,campaign_active_flag,0.01778547279536724,0.0014470212627202272,0.01701847477816045,0.018578239530324933,29.252573013305664,1.4959467649459839,3,701,128,observed_demographics
