run_name,model,dataset,version,seed,mode,protocol_variant,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,smearing_source
lstm_base_cdnow_v6_seed2024_sample,lstm_base,cdnow,v6,2024,sample,strict,valendin_aggregate_mape_v1,1.4611396789550781,0.7958751320838928,-0.06563123793317847,2.817521915829779,1.4938626251491816,-1.4938609655884199,11.156919279923805,1196.0,1178.1334030032158,24.254172347660447,-1.4938626251491816,25.3186215532677,5.2409227398120555,-1.4938626251491816,24.254172347660447,24.254172347660447,0.4579064470001291,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,42.59061813354492,0.0,0.0,2.817521915829779,1.0,2,cdnow_sample_52x26,2349,52,26,sample,30,True,,,97,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_cdnow_v6_seed42_sample,lstm_base,cdnow,v6,42,sample,strict,valendin_aggregate_mape_v1,1.4508179426193237,0.803674578666687,0.046177067312412,2.8274021064439063,4.668259820013142,4.6682606572690215,11.464567537491138,1196.0,1251.8323874473572,24.92297290758943,4.668259820013142,27.537516212470653,12.368541649705305,4.668259820013142,24.92297290758943,24.92297290758943,0.47227820848605656,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,42.44178771972656,0.0,0.0,2.8274021064439063,1.0,2,cdnow_sample_52x26,2349,52,26,sample,30,True,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_dunnhumby_v6_seed2024_sample,lstm_base,dunnhumby,v6,2024,sample,strict,valendin_aggregate_mape_v1,3.6883387565612793,2.2029097080230713,0.8535388846760327,1.2089841628183708,10.053895377601695,10.053888613965633,298.3996148072183,11872.0,13065.598459228873,10.053895377601695,10.053895377601695,10.075710491336515,10.075710491336515,10.053895377601695,10.053895377601695,10.053895377601695,1.0347236438831904,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1832.1166381835938,0.0,0.0,1.2089841628183708,1.0,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_dunnhumby_v6_seed42_sample,lstm_base,dunnhumby,v6,42,sample,strict,valendin_aggregate_mape_v1,3.3031351566314697,2.071288585662842,0.8544469774581916,1.1431794224075083,7.6973481033803175,7.697347553592486,228.45729170832783,11872.0,12785.829166833311,7.6973481033803175,7.6973481033803175,7.71564511008877,7.71564511008877,7.6973481033803175,7.6973481033803175,7.6973481033803175,0.9988253111996411,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1937.57861328125,0.0,0.0,1.1431794224075083,1.0,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024,sample,strict,valendin_aggregate_mape_v1,4.084772109985352,2.2962255477905273,0.8325450674582358,1.1534988283537906,7.596704624047266,7.596705351878369,225.47019324172288,11872.0,12773.880772966892,7.596704624047266,7.596704624047266,7.612266714124294,7.612266714124294,7.596704624047266,7.596704624047266,7.596704624047266,1.0601485106079032,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1920.2446899414062,63355.44140625,66869.3671875,1.1534988283537906,0.9474508892629858,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,89,100,1.4164849639525492,0.9474508892629858,63.158687591552734,100.4468002319336,0.8277164239686768,1.0667484998703003,1.5355221033096313,0.46443551778793335,-4.120948964460286,3576.2189566323905,347125.7604829216,332820.8846563921,4.120949078117571,4.120949078117557,-4.120949078117557,4.016857279229642,-4.016857279229642,-4.120949078117571,4.120949078117571,0.9738404730598171,27.51521755817735,62.99242401123047,100.17718505859375,0.789700948969541,3.3948466397355963,0.8277121465424518,346205.21875,331927.6875,rolling_origin_autoregressive
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42,sample,strict,valendin_aggregate_mape_v1,3.954974412918091,2.2754247188568115,0.8344851543227064,1.1336539586716567,6.414135328758849,6.414136860891173,190.37153655756265,11872.0,12633.48614623025,6.414135328758849,6.414135328758849,6.432547898133921,6.432547898133921,6.414135328758849,6.414135328758849,6.414135328758849,1.0513402679536819,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,1953.8590087890625,63355.44140625,68567.33203125,1.1336539586716567,0.9239887207128805,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,99,100,1.4543292217207917,0.9239887207128805,64.00398254394531,103.62625122070312,0.8321125149175099,1.0487747192382812,1.494992971420288,0.49233418703079224,-3.7050334064816566,3483.345157600015,347125.7604829216,334264.62304067134,4.013928730329876,3.705036878956447,-3.705036878956447,3.8651688360286958,-3.5424623414902676,-3.7050368789564554,4.013928730329876,0.974039522035983,27.51521755817735,63.83226013183594,103.34356689453125,0.795236656144403,3.3908549522591356,0.8321163496382654,346205.21875,333359.65625,rolling_origin_autoregressive
lstm_joint_dunnhumby_v6_seed7_sample,lstm_joint,dunnhumby,v6,7,sample,strict,valendin_aggregate_mape_v1,3.7886383533477783,2.271228313446045,0.8416022644244546,1.3268981654462548,11.445132924452164,11.445128242924527,339.6915451977402,11872.0,13230.76618079096,11.445132924452164,11.445132924452164,11.469846137808373,11.469846137808373,11.445132924452164,11.445132924452164,11.445132924452164,1.0387583573168528,0.8235297098438245,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,2215.0,1669.3067016601562,63355.44140625,65483.076171875,1.3268981654462548,0.9675086313898793,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,99,100,1.4615929875740448,0.9675086313898793,65.16604614257812,104.10374450683594,0.8292612318606781,1.0335661172866821,1.454652190208435,0.5193621516227722,-0.10590542476321622,2877.1108214123997,347125.7604829216,346758.13429651,3.315352703769102,0.10590576334644629,-0.10590576334644629,3.306848764503322,0.03787386580387771,-0.10590576334646726,3.315352703769102,0.9746567705779706,27.51521755817735,64.98953247070312,103.82026672363281,0.7914388195520107,3.4040519693072837,0.8292586459772634,346205.21875,345835.3125,rolling_origin_autoregressive
transformer_joint_dunnhumby_v6_seed42_sample,transformer_joint,dunnhumby,v6,42,sample,strict,valendin_aggregate_mape_v1,3.969561815261841,2.3142576217651367,0.838019382265562,1.0435528651151527,9.875551976748012,9.875554087348384,293.106382669881,11872.0,13044.425530679524,9.875551976748012,9.875551976748012,9.904026898230756,9.904026898230756,9.875551976748012,9.875551976748012,9.875551976748012,1.0595896255451966,0.8235297098438245,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,2215.0,2122.5565795898438,63355.44140625,66183.966796875,1.0435528651151527,0.9572626796561466,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,97,100,1.4596471809703107,0.9572626796561466,66.90826416015625,106.80767822265625,0.8181590193262809,1.0144760608673096,1.5146260261535645,0.4789127707481384,1.1960092992236964,4916.800291961503,347125.7604829216,351277.39608553424,5.665727931135098,1.1960033150051648,1.1960033150051648,5.598306732910712,1.4050742964532617,1.1960033150051395,5.665727931135098,1.0007391333298148,27.51521755817735,66.7282943725586,106.51522064208984,0.7802134100354299,3.367102941901643,0.8181664089997445,346205.21875,350311.9375,rolling_origin_autoregressive
lstm_base_tafeng_v6_seed2024_sample,lstm_base,tafeng,v6,2024,sample,strict,valendin_aggregate_mape_v1,1.8029743432998657,0.9474921226501465,0.6188138634873481,1.8834573735287214,2.0875504039766843,2.0875559091512597,4127.986763355136,30127.0,30755.916310206056,68.50975476076503,2.0875504039766843,80.37583912466488,22.404765808770584,2.0875504039766843,68.50975476076503,68.50975476076503,0.8843105039756243,0.3518873876671712,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,2897.0,1538.1287841796875,0.0,0.0,1.8834573735287214,1.0,2,tafeng_configured_12x5,27809,12,5,sample,30,True,,,75,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_tafeng_v6_seed42_sample,lstm_base,tafeng,v6,42,sample,strict,valendin_aggregate_mape_v1,1.8118529319763184,0.9752764105796814,0.6119634184748393,1.8429035100954547,6.375921070778505,6.375925249775949,1890.82289481014,30127.0,32047.87374099344,31.380869233746147,6.375921070778505,38.90131849416897,15.413880646285389,6.375921070778505,31.380869233746147,31.380869233746147,0.8388827041133025,0.3518873876671712,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,2897.0,1571.9759521484375,0.0,0.0,1.8429035100954547,1.0,2,tafeng_configured_12x5,27809,12,5,sample,30,True,,,55,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
