run_name,model,dataset,version,seed,mode,protocol_variant,metric,estimate,ci_low,ci_high,n_customers,n_resamples
lstm_base_dunnhumby_v6_seed42_sample,lstm_base,dunnhumby,v6,42.0,sample,strict,freq_rmse,3.525845051990967,3.253029340249076,3.819758419275713,2498,1000
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7.0,sample,strict,bias_pct,16.292626224520976,13.160946303595393,19.49342733711447,2498,1000
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7.0,sample,strict,freq_mae,2.2606338313411625,2.149984162895559,2.372556869533089,2498,1000
lstm_base_dunnhumby_v6_seed7_sample,lstm_base,dunnhumby,v6,7.0,sample,strict,freq_rmse,3.6413420158652823,3.345434281774895,4.0024096254950425,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,bias_pct,7.554544905712703,3.971751446607043,11.244959997226678,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,clv_decile_lift,3.4201156004895705,3.225192646712357,3.600569457106439,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,clv_mae,63.894140296453855,60.872572156699235,66.8242896025984,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,clv_spearman,0.7898188353925641,0.771555285773141,0.8071276216582911,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,freq_mae,2.3068993666960154,2.180373743214451,2.4350365172142907,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,freq_rmse,4.134013813358146,3.5849188029042565,4.707021579909947,2498,1000
lstm_joint_dunnhumby_v6_seed2024_sample,lstm_joint,dunnhumby,v6,2024.0,sample,strict,spend_mae_raw,64.0661441254988,61.04083549950579,66.99847484229802,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,bias_pct,7.500876563807041,4.1214927392324165,11.112679884454849,2498,1000
lstm_joint_dunnhumby_v6_seed42_sample,lstm_joint,dunnhumby,v6,42.0,sample,strict,clv_decile_lift,3.3792963325800236,3.189254536548369,3.5683569081350095,2498,1000
