run_name,model,dataset,version,seed,mode,protocol_variant,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,smearing_source,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured
extension3_lstm_dynamic_dunnhumby_final_seed42_sample,extension3_lstm_dynamic,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.3201045989990234,2.0222482681274414,0.848602151255702,1.029640155567318,4.929000350415727,-4.9290083810646905,146.29273040033877,11872.0,11286.829078398645,4.929000350415727,-4.929000350415727,4.912727733112498,-4.912727733112498,-4.929000350415727,4.929000350415727,4.929000350415727,0.9764310244109897,0.8235297098438245,1.3546142402879586,0.9818747112137485,63.14028549194336,101.10760498046875,0.8284102137197019,1.054125189781189,1.5211745500564575,0.4743971824645996,-5.897178472066679,5117.652121481977,347125.7604829216,326655.15199699375,5.897173536602176,5.897173536602163,-5.897173536602163,5.740949409490656,-5.740949409490656,-5.897173536602176,5.897173536602176,0.9689524594013533,27.51521755817735,62.97045135498047,100.83236694335938,0.7931439842438559,3.397916678611208,0.828429191600612,346205.21875,325772.84375,rolling_origin_autoregressive,0.9,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,2091.0423583984375,63355.44140625,65738.5,1.029640155567318,0.9818747112137485,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_full_dunnhumby_final_seed42_sample,extension3_lstm_full,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.3178775310516357,2.0152785778045654,0.8540210145668099,1.0791714334394669,7.452001537897967,-7.451997741534703,221.1754056448117,11872.0,10987.298377420753,7.452001537897967,-7.452001537897967,7.440025697792896,-7.440025697792896,-7.452001537897967,7.452001537897967,7.452001537897967,0.9548086581909273,0.8235297098438245,1.3583327087332941,0.9980529434898673,63.24248123168945,102.75572967529297,0.8268080550595386,1.003210186958313,1.4137420654296875,0.5460165739059448,-6.537229303789766,5673.106811018606,347125.7604829216,324433.3332388472,6.537235154344264,6.537235154344261,-6.537235154344261,6.414357864282922,-6.414357864282922,-6.537235154344264,6.537235154344264,0.9524761395378738,27.51521755817735,63.07258224487305,102.4771957397461,0.7962560893094573,3.4014129684154466,0.8268184489304229,346205.21875,323563.875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1912.2144775390625,63355.44140625,63603.119140625,1.0791714334394669,0.9980529434898673,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_none_dunnhumby_final_seed42_sample,extension3_lstm_none,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.3690600395202637,2.029564380645752,0.8492975010932293,1.0789529705364866,6.647706417664333,-6.647707381338444,197.3039264762774,11872.0,11082.78429409489,6.647706417664333,-6.647706417664333,6.633932619760256,-6.633932619760256,-6.647706417664333,6.647706417664333,6.647706417664333,0.9605783511487591,0.8235297098438245,1.3721683056775256,0.9917541623495277,64.16000366210938,103.83418273925781,0.8250194689056476,1.0143967866897583,1.433437705039978,0.5332790613174438,-4.629671307876181,4017.696877767994,347125.7604829216,331054.97297184967,4.629672971753605,4.629672971753596,-4.629672971753596,4.491851014569708,-4.491851014569708,-4.629672971753605,4.629672971753605,0.9624759878769052,27.51521755817735,63.98871612548828,103.55228424072266,0.793271405509269,3.4158119335388175,0.8250271191270638,346205.21875,330164.4375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1912.93603515625,63355.44140625,64417.798828125,1.0789529705364866,0.9917541623495277,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_lstm_static_dunnhumby_final_seed42_sample,extension3_lstm_static,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.37023663520813,2.028343677520752,0.8529296337208062,1.0845905971769012,8.163024868654222,-8.163016183035714,242.27857810165733,11872.0,10902.88568759337,8.163024868654222,-8.163024868654222,8.147116610198918,-8.147116610198918,-8.163024868654222,8.163024868654222,8.163024868654222,0.9579862699953724,0.8235297098438245,1.3575136753342432,0.9997017932212815,62.88976287841797,101.43167114257812,0.8287816530863421,1.0075478553771973,1.4245933294296265,0.5390206575393677,-6.356017956028904,5515.848658536739,347125.7604829216,325062.3658487747,6.356023420287895,6.35602342028789,-6.35602342028789,6.223397636571838,-6.223397636571838,-6.356023420287895,6.356023420287895,0.9532651995270282,27.51521755817735,62.7199821472168,101.15693664550781,0.7969906896460739,3.38229581259683,0.8287916688104089,346205.21875,324188.1875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1894.4882202148438,63355.44140625,63393.25,1.0845905971769012,0.9997017932212815,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_dynamic_dunnhumby_final_seed42_sample,extension3_transformer_dynamic,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.653657913208008,2.1441402435302734,0.8338408437118062,1.1082759382691747,5.51475245139067,-5.514748462769542,163.6778527572751,11872.0,11217.2885889709,5.51475245139067,-5.51475245139067,5.507656425578725,-5.507656425578725,-5.51475245139067,5.51475245139067,5.51475245139067,0.9982266198202278,0.8235297098438245,1.4056743567705332,1.0057676685874766,67.54363250732422,108.2856674194336,0.8110070598013929,1.012915015220642,1.4819867610931396,0.5011290311813354,-0.6192640563254095,2166.7539992578677,347125.7604829216,344976.118562726,2.496794241076753,0.6192689119946091,-0.6192689119946091,2.4530394472840387,-0.4982423414805615,-0.6192689119946259,2.496794241076753,0.99519361499371,27.51521755817735,67.36366271972656,107.99667358398438,0.7777186255575852,3.342100868858008,0.8110077499462851,346205.21875,344052.96875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1820.7197265625,63355.44140625,62632.94921875,1.1082759382691747,1.0057676685874766,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_full_dunnhumby_final_seed42_sample,extension3_transformer_full,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.815641403198242,2.1916611194610596,0.8371903525844631,1.1075783489406068,6.265010658495951,-6.265003790431267,185.94551634415984,11872.0,11128.21793462336,6.265010658495951,-6.265010658495951,6.249145984547107,-6.249145984547107,-6.265010658495951,6.265010658495951,6.265010658495951,1.0082221118551753,0.8235297098438245,1.3907009524003437,1.0098206929138571,68.122314453125,108.96646881103516,0.8157342718626657,1.0050383806228638,1.4701509475708008,0.509065568447113,0.7817772089797429,3615.0044440336496,347125.7604829216,349839.53854916454,4.165642375840332,0.7817852706948394,0.7817852706948394,4.10907953248119,0.9345440538460998,0.7817852706948226,4.165642375840332,0.9993082207935696,27.51521755817735,67.94133758544922,108.6767578125,0.7843631696246687,3.3416837465837177,0.815733581365291,346205.21875,348885.9375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1822.8101806640625,63355.44140625,62135.0234375,1.1075783489406068,1.0098206929138571,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_none_dunnhumby_final_seed42_sample,extension3_transformer_none,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.695053815841675,2.1474623680114746,0.8331589691841129,1.0735122107541568,3.5414256951257066,-3.541429216328336,105.10951463133097,11872.0,11451.561941474676,3.5414256951257066,-3.5414256951257066,3.528535378528229,-3.528535378528229,-3.5414256951257066,3.5414256951257066,3.5414256951257066,1.0044773359397936,0.8235297098438245,1.3929486257832222,0.988858709584254,66.36092376708984,105.56576538085938,0.8092322353765896,1.0183255672454834,1.4922878742218018,0.4941696524620056,-2.1639942441607976,1877.9489352512173,347125.7604829216,339613.96474191674,2.163998353379033,2.163998353379033,-2.163998353379033,2.0713950199939024,-2.0713950199939024,-2.163998353379033,2.163998353379033,0.9889693201311036,27.51521755817735,66.18540954589844,105.28507995605469,0.777085688754285,3.3428937201326736,0.809230424529069,346205.21875,338702.96875,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1931.0835571289062,63355.44140625,64799.337890625,1.0735122107541568,0.988858709584254,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
extension3_transformer_static_dunnhumby_final_seed42_sample,extension3_transformer_static,dunnhumby,final,42,sample,strict,valendin_aggregate_mape_v1,3.664605140686035,2.151778221130371,0.8337136033968275,1.0970064397395045,5.612579960127504,-5.612585679540095,166.58137321658432,11872.0,11205.674507133663,5.612579960127504,-5.612579960127504,5.5992969413246065,-5.5992969413246065,-5.612579960127504,5.612579960127504,5.612579960127504,0.9975772054009722,0.8235297098438245,1.4071733995885074,1.0055222067844483,67.38560485839844,107.78887176513672,0.8118532300098152,1.012229323387146,1.4749549627304077,0.5058518648147583,-0.3794464253948317,2244.516020778785,347125.7604829216,345808.5874855344,2.586400983500864,0.37945123852369544,-0.37945123852369544,2.5414229954927676,-0.24096491589063648,-0.37945123852370377,2.586400983500864,0.9948896870073445,27.51521755817735,67.20693969726562,107.50202178955078,0.7790926965765245,3.3255658785510356,0.8118381054479826,346205.21875,344880.4375,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,rolling_origin_autoregressive,2215.0,1855.0888671875,63355.44140625,62663.361328125,1.0970064397395045,1.0055222067844483,2,dunnhumby_configured_80x4,2498,80,4,sample,30,True,,,100,100
