run_name,model,dataset,version,seed,mode,protocol_variant,run_valid,training_failed,failure_type,failure_message,repair_attempted,repair_failed,repair_failure_type,run_invalid_reason,final_manifest_version,final_manifest_config
lstm_joint_tafeng_v7_seed2024_sample,lstm_joint,tafeng,v7,2024,sample,strict,False,False,,,False,False,,absolute spend bias 60.8% exceeds 50.0%,,
lstm_joint_tafeng_v7_seed42_sample,lstm_joint,tafeng,v7,42,sample,strict,False,False,,,False,False,,absolute frequency bias 21.9% exceeds 15.0%; absolute spend bias 77.4% exceeds 50.0%,,
lstm_joint_tafeng_v7_seed7_sample,lstm_joint,tafeng,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias 86.1% exceeds 15.0%; absolute spend bias 163.0% exceeds 50.0%,,
lstm_joint_tafeng_v7_twostage_seed42_sample,lstm_joint,tafeng,v7_twostage,42,sample,strict,False,False,,,False,False,,absolute frequency bias 23.4% exceeds 15.0%; absolute spend bias 58.9% exceeds 50.0%,,
lstm_joint_tafeng_v7_twostage_seed7_sample,lstm_joint,tafeng,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias 80.3% exceeds 15.0%; absolute spend bias 124.6% exceeds 50.0%,,
transformer_joint_tafeng_v6b_seed2024_sample,transformer_joint,tafeng,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -27.6% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_tafeng_v6b.yaml
transformer_joint_tafeng_v6b_seed42_sample,transformer_joint,tafeng,v6b,42,sample,strict,False,False,,,False,False,,absolute frequency bias 63.6% exceeds 15.0%; absolute spend bias 114.3% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_tafeng_v6b.yaml
transformer_joint_tafeng_v6b_seed7_sample,transformer_joint,tafeng,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias 26.9% exceeds 15.0%; absolute spend bias 68.4% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_tafeng_v6b.yaml
transformer_joint_tafeng_v7_seed2024_sample,transformer_joint,tafeng,v7,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -31.1% exceeds 15.0%,,
transformer_joint_tafeng_v7_seed42_sample,transformer_joint,tafeng,v7,42,sample,strict,False,False,,,False,False,,absolute frequency bias 40.2% exceeds 15.0%; absolute spend bias 86.6% exceeds 50.0%,,
transformer_joint_tafeng_v7_seed7_sample,transformer_joint,tafeng,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias 19.9% exceeds 15.0%; absolute spend bias 58.7% exceeds 50.0%,,
transformer_joint_tafeng_v7_twostage_seed2024_sample,transformer_joint,tafeng,v7_twostage,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -27.2% exceeds 15.0%,,
transformer_joint_tafeng_v7_twostage_seed42_sample,transformer_joint,tafeng,v7_twostage,42,sample,strict,False,False,,,False,False,,absolute frequency bias 36.8% exceeds 15.0%; absolute spend bias 56.7% exceeds 50.0%,,
transformer_joint_tafeng_v7_twostage_seed7_sample,transformer_joint,tafeng,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias 16.0% exceeds 15.0%; absolute spend bias 61.6% exceeds 50.0%,,
lstm_base_uci_v6_seed7_sample,lstm_base,uci,v6,7,sample,strict,False,False,,,False,False,,absolute frequency bias 19.3% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_base_uci_v6.yaml
lstm_joint_uci_v6b_seed2024_sample,lstm_joint,uci,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -48.0% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_uci_v6b.yaml
lstm_joint_uci_v6b_seed42_sample,lstm_joint,uci,v6b,42,sample,strict,False,False,,,False,False,,absolute frequency bias -52.3% exceeds 15.0%; absolute spend bias -53.8% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_uci_v6b.yaml
lstm_joint_uci_v6b_seed7_sample,lstm_joint,uci,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias -53.8% exceeds 15.0%; absolute spend bias -53.9% exceeds 50.0%,2026-05-20-results-recovery-protocol,experiments/configs/lstm_joint_uci_v6b.yaml
lstm_joint_uci_v7_seed42_sample,lstm_joint,uci,v7,42,sample,strict,False,False,,,False,False,,absolute frequency bias -21.1% exceeds 15.0%,,
lstm_joint_uci_v7_twostage_seed42_sample,lstm_joint,uci,v7_twostage,42,sample,strict,False,False,,,False,False,,absolute frequency bias -23.2% exceeds 15.0%,,
transformer_joint_uci_v6b_seed2024_sample,transformer_joint,uci,v6b,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -29.6% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_uci_v6b.yaml
transformer_joint_uci_v6b_seed7_sample,transformer_joint,uci,v6b,7,sample,strict,False,False,,,False,False,,absolute frequency bias -42.3% exceeds 15.0%,2026-05-20-results-recovery-protocol,experiments/configs/transformer_joint_uci_v6b.yaml
transformer_joint_uci_v7_seed2024_sample,transformer_joint,uci,v7,2024,sample,strict,False,False,,,False,False,,absolute frequency bias -18.8% exceeds 15.0%,,
transformer_joint_uci_v7_seed7_sample,transformer_joint,uci,v7,7,sample,strict,False,False,,,False,False,,absolute frequency bias -27.0% exceeds 15.0%,,
transformer_joint_uci_v7_twostage_seed7_sample,transformer_joint,uci,v7_twostage,7,sample,strict,False,False,,,False,False,,absolute frequency bias -31.1% exceeds 15.0%,,
