run_name,model,dataset,version,seed,mode,protocol_variant,quality_tier,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,freq_mase_scale,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,validation_rolling_origin_count,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured,final_finetune_enabled,final_finetune_epochs,final_finetune_lr_multiplier,final_finetune_batch_size_multiplier,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,smearing_source,spend_mae,spend_rmse,spend_r2
pareto_nbd_cdnow,pareto_nbd,cdnow,,,,strict,A,,1.1631473302841187,0.5381752252578735,,,,8.347710957096572,,,,,,,,,,8.347710957096572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg_cdnow,bgnbd_gg,cdnow,,,,strict,A,,1.2420098781585693,0.5800448060035706,,,,7.74925769651508,,,,,,,,,,7.74925769651508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0097427895448428,1.7008578462170685,0.026838214954650774
pareto_ggg_cdnow,pareto_ggg,cdnow,,,,strict,A,,1.2724459171295166,0.550102174282074,,,,13.654687173390467,,,,,,,,,,13.654687173390467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_cdnow_v6_seed2024_sample,lstm_base,cdnow,v6,2024.0,sample,strict,A,valendin_aggregate_mape_v1,1.4611396789550781,0.7958751320838928,-0.06563123793317847,2.817521915829779,1.4938626251491816,-1.4938609655884199,11.156919279923805,1196.0,1178.1334030032158,24.254172347660447,-1.4938626251491816,25.3186215532677,5.2409227398120555,-1.4938626251491816,24.254172347660447,24.254172347660447,0.4579064470001291,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,42.59061813354492,0.0,0.0,2.817521915829779,1.0,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,True,,,97.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_cdnow_v6_seed42_sample,lstm_base,cdnow,v6,42.0,sample,strict,A,valendin_aggregate_mape_v1,1.4508179426193237,0.803674578666687,0.046177067312412,2.8274021064439063,4.668259820013142,4.6682606572690215,11.464567537491138,1196.0,1251.8323874473572,24.92297290758943,4.668259820013142,27.537516212470653,12.368541649705305,4.668259820013142,24.92297290758943,24.92297290758943,0.47227820848605656,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,42.44178771972656,0.0,0.0,2.8274021064439063,1.0,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,True,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base_cdnow_v6_seed7_sample,lstm_base,cdnow,v6,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.468934178352356,0.872791588306427,-0.002598252560620488,3.2674633935333635,24.58408586680889,24.584083174383363,17.275385519059803,1196.0,1490.0256669670343,37.555185910999576,24.58408586680889,43.38616375950952,32.63430928274026,24.58408586680889,37.555185910999576,37.555185910999576,0.5174022407622327,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,36.72573661804199,0.0,0.0,3.2674633935333635,1.0,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias 24.6% exceeds 15.0%,large frequency bias (24.6%),97.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint_cdnow_v6b_seed2024_sample,lstm_joint,cdnow,v6b,2024.0,sample,strict,B,valendin_aggregate_mape_v1,1.3995193243026733,0.678418755531311,0.34167021172158774,5.218577519373737,21.65068776586582,-21.650690697507315,12.48685318403519,1196.0,937.0577743202448,27.145333008772155,-21.65068776586582,24.599193721762205,-16.424459808151205,-21.65068776586582,27.145333008772155,27.145333008772155,0.40793246721416426,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,22.99477195739746,4587.64013671875,940.88134765625,5.218577519373737,4.875896570961506,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -21.7% exceeds 15.0%,large frequency bias (-21.7%); large spend bias (-23.5%),100.0,100.0,,,,,1.2393097997007516,4.875896570961506,23.80423355102539,54.037967681884766,0.4552048484314948,1.9727976322174072,2.2785279750823975,-0.7910219430923462,-23.45764367691092,501.6390800823143,43103.43998063614,32992.38479305921,30.258875133862766,23.457652549585923,-23.457652549585923,27.604180840563718,-16.06212065112988,-23.457652549585934,30.258875133862766,0.6841890564585726,1.7675491305339937,23.306798934936523,52.934791564941406,0.1897224502684311,3.793862835495697,0.4565201652147033,42218.734375,32319.96875,rolling_origin_autoregressive,,,
lstm_joint_cdnow_v6b_seed42_sample,lstm_joint,cdnow,v6b,42.0,sample,strict,B,valendin_aggregate_mape_v1,1.3952680826187134,0.666098952293396,0.36475097352662067,6.223862673019077,23.788900915097233,-23.788901236543687,14.408143053834255,1196.0,911.4847450554371,31.32205011703099,-23.788900915097233,28.954437793213362,-18.927969034611333,-23.788900915097233,31.32205011703099,31.32205011703099,0.40023372268852925,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,19.280631065368652,4587.64013671875,775.4385375976562,6.223862673019077,5.916187955955177,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -23.8% exceeds 15.0%,large frequency bias (-23.8%); large spend bias (-26.4%),97.0,100.0,,,,,1.2490799895317806,5.916187955955177,22.974260330200195,54.330074310302734,0.4830930749912961,1.802446722984314,2.1837451457977295,-0.6451143026351929,-26.39838941209735,586.6072676375006,43103.43998063614,31724.82550097768,35.384157193548255,26.39839067315789,-26.39839067315789,33.594601360715046,-19.054374113522808,-26.398390673157913,35.384157193548255,0.6674989295564021,1.7675491305339937,22.496164321899414,53.212669372558594,0.23259302264426573,4.171352104553726,0.4840898173555049,42218.734375,31127.14453125,rolling_origin_autoregressive,,,
lstm_joint_cdnow_v6b_seed7_sample,lstm_joint,cdnow,v6b,7.0,sample,strict,B,valendin_aggregate_mape_v1,1.3922340869903564,0.6508868336677551,0.3646716188356948,5.795512014015077,27.949522331008147,-27.94951882250732,14.61780289044747,1196.0,861.7237129211426,31.77783237053798,-27.949522331008147,29.410012602648216,-23.643797340615297,-27.949522331008147,31.77783237053798,31.77783237053798,0.3940357166336793,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,20.705677032470703,4587.64013671875,849.2227478027344,5.795512014015077,5.402163506086875,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -27.9% exceeds 15.0%,large frequency bias (-27.9%); large spend bias (-33.8%),97.0,100.0,,,,,1.2095634866670895,5.402163506086875,22.676252365112305,54.23776626586914,0.4357779284136693,1.8241983652114868,2.1901743412017822,-0.654815673828125,-33.79984376246094,619.8275201812871,43103.43998063614,28534.54151197624,37.3880032126281,33.79985095204665,-33.79985095204665,34.692663207053236,-27.660665928260496,-33.799850952046654,37.3880032126281,0.6465770459342814,1.7675491305339937,22.194955825805664,53.11382293701172,0.1893226077196161,4.037476005917303,0.4372512359331272,42218.734375,27976.80859375,rolling_origin_autoregressive,,,
lstm_joint_cdnow_v7_seed42_sample,lstm_joint,cdnow,v7,42.0,sample,strict,B,valendin_aggregate_mape_v1,1.2874720096588135,0.5452517867088318,0.4998551981413004,4.111769143281762,40.84952498558771,-40.84952363999791,24.361079293947952,1196.0,707.4396811723709,52.95886803032164,-40.84952498558771,51.78211905058693,-38.08731159429549,-40.84952498558771,52.95886803032164,52.95886803032164,0.35177272686641087,0.08338133039507842,rolling_origin_autoregressive,0.75,rolling_origin_autoregressive,120.0,29.184517860412598,4587.64013671875,1335.5763549804688,4.111769143281762,3.4349515994432522,2.0,cdnow_sample_52x26,2349.0,52.0,26.0,sample,30.0,False,absolute frequency bias -40.8% exceeds 15.0%,large frequency bias (-40.8%); large spend bias (-44.5%),120.0,120.0,,,,,1.2865960869860764,3.4349515994432522,19.234853744506836,51.746097564697266,0.5401999181474317,1.383654236793518,1.8507293462753296,-0.18162059783935547,-44.47935924483981,904.2796709980793,43103.43998063614,23931.304415389648,54.54616025197131,44.479363071391546,-44.479363071391546,53.696260471100764,-40.582794166310215,-44.47936307139156,54.54616025197131,0.5845597668957634,1.7675491305339937,18.832571029663086,50.64693832397461,0.2834237813210296,4.791238799845828,0.541245786869814,42218.734375,23571.15625,rolling_origin_autoregressive,,,
