model,dataset,version,seed,mode,protocol_variant,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_mape,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,repair_attempted,repair_strategy,repair_source_failure_type,training_lr_after_repair,training_max_grad_norm_after_repair,training_amp_enabled_after_repair,run_valid,run_invalid_reason,run_warning
lstm_joint,cdnow,v2,123,sample,stability_repair,1.2472575902938843,0.5819146633148193,0.6709381851500377,0.9444364070383565,13.054827942098662,-13.054827942098662,11.205217357868186,1196.0,1039.864313846454,22.71200716653414,-7.2401474125924095,0.41866633902776457,0.08338133039507842,1.2700373867846055,0.9596584956525692,21.70256996154785,51.48978805541992,0.6749570684218629,1.9359867572784424,2.102888822555542,-0.5255441665649414,-21.008493377123344,528.8755479740183,43103.43998063614,34048.05033540334,29.31699552851798,-12.283873160027174,0.6869461335364692,1.7675491305339937,21.23699188232422,50.45140075683594,0.38628085650267774,4.775979552024947,0.6756635297023897,42218.734375,33260.40234375,validation_only,0.9718515872955322,validation_only,261.0,293.63031005859375,10048.27990871477,10930.157936545262,0.9444364070383565,0.9596584956525692,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
lstm_joint,cdnow,v2,42,sample,stability_repair,1.2197239398956299,0.5856605172157288,0.6403457246637652,0.9829951506840254,0.8411011966973244,0.8411011966973244,10.805070789638334,1196.0,1206.059574215673,25.030553625029704,8.11708344152327,0.4424904141455091,0.08338133039507842,1.1924466846499147,0.9970290052048022,23.353078842163086,49.28936004638672,0.6783293805500803,2.0583817958831787,2.251279354095459,-0.7484409809112549,17.655657538914387,509.75113679835533,43103.43998063614,50713.63220500402,39.39804720658489,31.25023866232039,0.8173717128294054,1.7675491305339937,22.84336280822754,48.261322021484375,0.3912392494283675,5.1456602323483915,0.6791341970507299,42218.734375,49596.5859375,validation_only,0.9782639145851135,validation_only,320.0,331.2662658691406,11798.549970526808,11869.075895948148,0.9829951506840254,0.9970290052048022,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
lstm_joint,cdnow,v2,7,sample,stability_repair,1.2882189750671387,0.5660635828971863,0.6317214241303707,0.9649249779964877,27.91225471624164,-27.91225471624164,13.918725101724984,1196.0,862.1694310936145,27.091369676979145,-23.359803178974527,0.3850371802889638,0.08338133039507842,1.2179054363198398,1.0155121401570768,20.324058532714844,51.37110900878906,0.6642168762403685,1.8165189027786255,1.945497751235962,-0.305730938911438,-34.96037874009468,637.0885167774893,43103.43998063614,28034.312423806783,34.7657247424791,-28.222540535545303,0.6295879153824421,1.7675491305339937,19.89154052734375,50.310203552246094,0.3699904420336674,5.141042852210117,0.6647736189770792,42218.734375,27449.47265625,validation_only,0.9726549983024597,validation_only,308.0,331.2362365722656,11202.559968874077,10865.46668470373,0.9649249779964877,1.0155121401570768,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,cdnow,v2,123,sample,stability_repair,1.2306222915649414,0.49340903759002686,0.6704162439870414,0.936982209338258,31.73740348688336,-31.73740348688336,16.16035680963586,1196.0,816.4207271607593,31.35286233658063,-25.936407772457837,0.3733430168828916,0.08338133039507842,1.4254361128093693,0.9242493122593343,18.340160369873047,48.88458251953125,0.6836691225871281,1.0439728498458862,1.6616448163986206,0.047492146492004395,-26.978285338321335,626.1886615165439,43103.43998063614,31474.86894567076,35.99735785324561,-17.15229743852592,0.6508069187035048,1.7675491305339937,17.956207275390625,47.88612365722656,0.4274307270108326,5.115072344715087,0.6841689051292814,42218.734375,30785.603515625,validation_only,1.031445860862732,validation_only,261.0,298.63916015625,10048.27990871477,11842.423332642291,0.936982209338258,0.9242493122593343,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,cdnow,v2,42,sample,stability_repair,1.2522180080413818,0.5024877786636353,0.675672469648876,0.9876227664682711,36.77990763482442,-36.77990763482442,17.305380165791856,1196.0,756.1123239491135,35.285421204632435,-33.90462336676132,0.3643105615851293,0.08338133039507842,1.2197361183528603,0.9733652537116171,18.54058837890625,48.92898178100586,0.689642055536785,1.3587948083877563,1.7290767431259155,-0.031384825706481934,-28.584699958674992,523.7374042878881,43103.43998063614,30782.449710233872,28.45569732446514,-23.886181940572683,0.6474313947356354,1.7675491305339937,18.163776397705078,47.92310333251953,0.434005581695445,5.167940103586533,0.6901477410566276,42218.734375,30177.291015625,validation_only,1.0308752059936523,validation_only,320.0,328.12249755859375,11798.549970526808,12462.416577912481,0.9876227664682711,0.9733652537116171,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,cdnow,v2,7,sample,stability_repair,1.2546157836914062,0.5120458006858826,0.6800631565169017,0.9681641421553984,33.72236270968332,-33.72236270968332,16.36107014024702,1196.0,792.6805813782848,32.32016999629819,-29.468328151045988,0.3716854292090139,0.08338133039507842,1.2068275208324932,0.9856682354141026,18.64295768737793,50.41487121582031,0.6859699733563649,1.244580626487732,1.6893960237503052,0.01541060209274292,-37.87012165503042,682.2896564751586,43103.43998063614,26780.11470678083,37.7835705341754,-31.50463616075101,0.6163256106031233,1.7675491305339937,18.261404037475586,49.38667678833008,0.4273407297907352,5.068927452484995,0.6863287473620371,42218.734375,26242.34375,validation_only,0.9996784925460815,validation_only,308.0,328.9444580078125,11202.559968874077,11533.140477390158,0.9681641421553984,0.9856682354141026,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,dunnhumby,v2,123,sample,stability_repair,15.947534561157227,9.22701644897461,0.8605478501080133,0.9876625972206944,2.7211803071848673,2.7211803071848673,140.1018527418121,62910.0,64621.89522207063,6.439897304681846,4.366694491241107,1.0560373804597538,0.8235297098438245,1.3999797595356935,0.9695645831521302,300.32501220703125,482.98828125,0.8555376844719149,0.7338983416557312,1.2268859148025513,0.48930925130844116,-0.6371083100658205,6425.905786767176,1965992.2999520553,1953466.6679399153,8.549541829554554,1.3939518926052707,1.098535544850923,27.51521755817735,294.4329528808594,473.4519958496094,0.8146812133994679,3.238766330657098,0.8559176961099869,1929812.75,1916895.25,validation_only,1.0080021619796753,validation_only,17490.0,17932.48046875,510671.0401096433,543770.8234739196,0.9876625972206944,0.9695645831521302,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,dunnhumby,v2,42,sample,stability_repair,14.611724853515625,9.084554672241211,0.8671857851939995,0.9872842939062136,7.246090645366396,7.246090645366396,221.87297899750146,62910.0,67468.51553649455,9.601477841666185,9.121871891217955,1.0574140034334436,0.8235297098438245,1.3869000912340812,0.9662238749451924,312.6342468261719,498.2664489746094,0.8581439592892107,0.7441570162773132,1.2496020793914795,0.47022294998168945,7.287732187143668,8095.413362208772,1965992.2999520553,2109268.592029379,11.287586785686088,9.69500475075688,1.1317248526132375,27.51521755817735,306.37469482421875,488.3373718261719,0.8177011215761864,3.2692583061371785,0.8585453951635101,1929812.75,2068918.75,validation_only,1.0103768110275269,validation_only,18807.0,19297.76953125,552284.4896824306,592295.3749927063,0.9872842939062136,0.9662238749451924,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
transformer_joint,dunnhumby,v2,7,sample,stability_repair,15.000086784362793,9.066060066223145,0.8659083883625005,0.9865278140391436,4.609449511206486,4.609449511206486,191.14242611738683,62910.0,65809.80478139361,8.688770774366501,6.720481985772224,1.0534653272143293,0.8235297098438245,1.4218081933830076,0.9623192096728621,300.3314514160156,489.23065185546875,0.8566994654448569,0.7318369150161743,1.2214285135269165,0.4938424229621887,-0.5694579925226053,7030.006185033769,1965992.2999520553,1954796.7544215582,9.507467662075813,1.8464128847021588,1.104766422507163,27.51521755817735,294.388671875,479.5488586425781,0.8163327900642957,3.262190412796236,0.8571081545558509,1929812.75,1917849.0,validation_only,1.0295301675796509,validation_only,21969.0,22577.33203125,646302.7100964336,698978.861979106,0.9865278140391436,0.9623192096728621,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
extension3_transformer_none,dunnhumby,final,123,sample,stability_repair,3.648921489715576,2.2161459922790527,0.8229786707310427,0.9924833548844665,2.982250121083221,-2.982250121083221,88.51319509744644,11872.0,11517.947219610214,2.968937346632769,-2.968937346632769,1.0304725663462253,0.8235297098438245,1.40993869340869,0.9747846446595225,68.88336944580078,107.453125,0.8057714373576008,1.095108151435852,1.6138813495635986,0.40838003158569336,0.04090736570248678,606.9814734088286,347125.7604829216,347267.73312088253,0.7139917852114024,0.055409371643216,1.02016142686317,27.51521755817735,68.7025375366211,107.16905212402344,0.7679843070785168,3.314029302666351,0.8057676123503528,346205.21875,346350.84375,validation_only,1.016788125038147,validation_only,17490.0,17756.9453125,510671.0401096433,537792.2873599415,0.9924833548844665,0.9747846446595225,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
extension3_transformer_none,dunnhumby,final,42,sample,stability_repair,3.555438995361328,2.1805365085601807,0.833111507473371,0.9867001822424597,2.7637409714033017,2.7637409714033017,101.00908066704869,11872.0,12200.11184079945,3.420181890609793,2.789370309779418,1.033405336232683,0.8235297098438245,1.3748188894359905,0.9732613296489783,66.4891128540039,102.8261489868164,0.8133526737787854,1.0856832265853882,1.61014986038208,0.4111126661300659,-0.23501029526043515,2496.3628344312274,347125.7604829216,346309.98778622446,2.8084801877958703,-0.1106556170935638,1.0079332378540151,27.51521755817735,66.31399536132812,102.55152893066406,0.7758021398982985,3.3351495552503154,0.8133472506761861,346205.21875,345372.4375,validation_only,0.9999884366989136,validation_only,18807.0,19320.9296875,552284.4896824306,583487.8692624902,0.9867001822424597,0.9732613296489783,True,amp_disabled; lr_0.0005; grad_clip_0.5,FloatingPointError,0.0005,0.5,False,True,,
