model,dataset,version,seed,mode,protocol_variant,freq_rmse,freq_mae,freq_normalized_gini,freq_calibration_factor,freq_mape,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,smearing_factor,spend_calibration_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,calibration_temperature_source,validation_temperature,calibration_source,validation_freq_true_total,validation_freq_pred_total,validation_spend_true_total,validation_spend_pred_total,validation_freq_calibration_factor,validation_spend_calibration_factor,run_valid,run_invalid_reason,run_warning
lstm_base,cdnow,v2,123,sample,strict,1.1741174459457397,0.5654882192611694,0.6906369645603586,0.9774003629660326,12.056943963602635,-12.056943963602635,12.800330882533812,1196.0,1051.7990182321519,27.652289854976118,-5.45471335622835,0.41706545710394777,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,validation_only,0.9818826913833618,validation_only,261.0,273.35546875,0.0,0.0,0.9774003629660326,1.0,True,,
lstm_base,cdnow,v2,42,sample,strict,1.2250301837921143,0.5324316024780273,0.6657719493438922,0.9924102469508467,40.37489875104515,-40.37489875104515,19.60829918903227,1196.0,713.1162279192358,39.775959840968895,-36.45133694719897,0.3560529017605625,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,validation_only,1.0053293704986572,validation_only,320.0,324.93231201171875,0.0,0.0,0.9924102469508467,1.0,True,,
lstm_base,cdnow,v2,7,sample,strict,1.2565762996673584,0.5781510472297668,0.5995909552014137,0.9899826952023317,36.06670979273359,-36.06670979273359,17.429237230537602,1196.0,764.6421234756708,34.84366925543313,-32.10665739559109,0.36769360772182924,0.08338133039507842,,,,,,,,,,,,,,,,,,,,,,,,validation_only,0.9831839203834534,validation_only,308.0,314.29681396484375,0.0,0.0,0.9899826952023317,1.0,True,,
lstm_joint,cdnow,v2,123,sample,strict,1.2472575902938843,0.5819146633148193,0.6709381851500377,0.9444364070383565,13.054827942098662,-13.054827942098662,11.205217357868186,1196.0,1039.864313846454,22.71200716653414,-7.2401474125924095,0.41866633902776457,0.08338133039507842,1.2700373867846055,0.9596584956525692,21.70256996154785,51.48978805541992,0.6749570684218629,1.9359867572784424,2.102888822555542,-0.5255441665649414,-21.008493377123344,528.8755479740183,43103.43998063614,34048.05033540334,29.31699552851798,-12.283873160027174,0.6869461335364692,1.7675491305339937,21.23699188232422,50.45140075683594,0.38628085650267774,4.775979552024947,0.6756635297023897,42218.734375,33260.40234375,validation_only,0.9718515872955322,validation_only,261.0,293.63031005859375,10048.27990871477,10930.157936545262,0.9444364070383565,0.9596584956525692,True,,
lstm_joint,cdnow,v2,42,sample,strict,1.2197239398956299,0.5856605172157288,0.6403457246637652,0.9829951506840254,0.8411011966973244,0.8411011966973244,10.805070789638334,1196.0,1206.059574215673,25.030553625029704,8.11708344152327,0.4424904141455091,0.08338133039507842,1.1924466846499147,0.9970290052048022,23.353078842163086,49.28936004638672,0.6783293805500803,2.0583817958831787,2.251279354095459,-0.7484409809112549,17.655657538914387,509.75113679835533,43103.43998063614,50713.63220500402,39.39804720658489,31.25023866232039,0.8173717128294054,1.7675491305339937,22.84336280822754,48.261322021484375,0.3912392494283675,5.1456602323483915,0.6791341970507299,42218.734375,49596.5859375,validation_only,0.9782639145851135,validation_only,320.0,331.2662658691406,11798.549970526808,11869.075895948148,0.9829951506840254,0.9970290052048022,True,,
lstm_joint,cdnow,v2,7,sample,strict,1.2882189750671387,0.5660635828971863,0.6317214241303707,0.9649249779964877,27.91225471624164,-27.91225471624164,13.918725101724984,1196.0,862.1694310936145,27.091369676979145,-23.359803178974527,0.3850371802889638,0.08338133039507842,1.2179054363198398,1.0155121401570768,20.324058532714844,51.37110900878906,0.6642168762403685,1.8165189027786255,1.945497751235962,-0.305730938911438,-34.96037874009468,637.0885167774893,43103.43998063614,28034.312423806783,34.7657247424791,-28.222540535545303,0.6295879153824421,1.7675491305339937,19.89154052734375,50.310203552246094,0.3699904420336674,5.141042852210117,0.6647736189770792,42218.734375,27449.47265625,validation_only,0.9726549983024597,validation_only,308.0,331.2362365722656,11202.559968874077,10865.46668470373,0.9649249779964877,1.0155121401570768,True,,
transformer_joint,cdnow,v2,123,sample,strict,1.2306222915649414,0.49340903759002686,0.6704162439870414,0.936982209338258,31.73740348688336,-31.73740348688336,16.16035680963586,1196.0,816.4207271607593,31.35286233658063,-25.936407772457837,0.3733430168828916,0.08338133039507842,1.4254361128093693,0.9242493122593343,18.340160369873047,48.88458251953125,0.6836691225871281,1.0439728498458862,1.6616448163986206,0.047492146492004395,-26.978285338321335,626.1886615165439,43103.43998063614,31474.86894567076,35.99735785324561,-17.15229743852592,0.6508069187035048,1.7675491305339937,17.956207275390625,47.88612365722656,0.4274307270108326,5.115072344715087,0.6841689051292814,42218.734375,30785.603515625,validation_only,1.031445860862732,validation_only,261.0,298.63916015625,10048.27990871477,11842.423332642291,0.936982209338258,0.9242493122593343,True,,
transformer_joint,cdnow,v2,42,sample,strict,1.2522180080413818,0.5024877786636353,0.675672469648876,0.9876227664682711,36.77990763482442,-36.77990763482442,17.305380165791856,1196.0,756.1123239491135,35.285421204632435,-33.90462336676132,0.3643105615851293,0.08338133039507842,1.2197361183528603,0.9733652537116171,18.54058837890625,48.92898178100586,0.689642055536785,1.3587948083877563,1.7290767431259155,-0.031384825706481934,-28.584699958674992,523.7374042878881,43103.43998063614,30782.449710233872,28.45569732446514,-23.886181940572683,0.6474313947356354,1.7675491305339937,18.163776397705078,47.92310333251953,0.434005581695445,5.167940103586533,0.6901477410566276,42218.734375,30177.291015625,validation_only,1.0308752059936523,validation_only,320.0,328.12249755859375,11798.549970526808,12462.416577912481,0.9876227664682711,0.9733652537116171,True,,
transformer_joint,cdnow,v2,7,sample,strict,1.2546157836914062,0.5120458006858826,0.6800631565169017,0.9681641421553984,33.72236270968332,-33.72236270968332,16.36107014024702,1196.0,792.6805813782848,32.32016999629819,-29.468328151045988,0.3716854292090139,0.08338133039507842,1.2068275208324932,0.9856682354141026,18.64295768737793,50.41487121582031,0.6859699733563649,1.244580626487732,1.6893960237503052,0.01541060209274292,-37.87012165503042,682.2896564751586,43103.43998063614,26780.11470678083,37.7835705341754,-31.50463616075101,0.6163256106031233,1.7675491305339937,18.261404037475586,49.38667678833008,0.4273407297907352,5.068927452484995,0.6863287473620371,42218.734375,26242.34375,validation_only,0.9996784925460815,validation_only,308.0,328.9444580078125,11202.559968874077,11533.140477390158,0.9681641421553984,0.9856682354141026,True,,
lstm_base,dunnhumby,v2,123,sample,strict,13.86627197265625,8.455953598022461,0.877383161773649,0.9946877939578669,0.20101881656334444,-0.20101881656334444,143.33528510176322,62910.0,62783.53842390329,6.429556296334981,1.4382819066819863,1.0208016042905514,0.8235297098438245,,,,,,,,,,,,,,,,,,,,,,,,validation_only,0.9954381585121155,validation_only,17490.0,17677.81640625,0.0,0.0,0.9946877939578669,1.0,True,,
