model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_calibration_factor_mean,freq_calibration_factor_std,freq_horizon_abs_bias_pct_mean,freq_horizon_abs_bias_pct_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_valendin_mape_mean,freq_valendin_mape_std,freq_horizon_bias_pct_mean,freq_horizon_bias_pct_std,freq_weekly_mean_pct_mape_mean,freq_weekly_mean_pct_mape_std,freq_weekly_mean_pct_bias_pct_mean,freq_weekly_mean_pct_bias_pct_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_mape_mean,freq_mape_std,freq_mase_mean,freq_mase_std,freq_mase_scale_mean,freq_mase_scale_std,validation_temperature_mean,validation_temperature_std,validation_freq_true_total_mean,validation_freq_true_total_std,validation_freq_pred_total_mean,validation_freq_pred_total_std,validation_spend_true_total_mean,validation_spend_true_total_std,validation_spend_pred_total_mean,validation_spend_pred_total_std,validation_freq_calibration_factor_mean,validation_freq_calibration_factor_std,validation_spend_calibration_factor_mean,validation_spend_calibration_factor_std,validation_rolling_origin_count_mean,validation_rolling_origin_count_std,cohort_size_mean,cohort_size_std,calibration_weeks_mean,calibration_weeks_std,holdout_weeks_mean,holdout_weeks_std,n_scenarios_mean,n_scenarios_std,run_valid_mean,run_valid_std,epochs_completed_mean,epochs_completed_std,max_epochs_configured_mean,max_epochs_configured_std,smearing_factor_mean,smearing_factor_std,spend_calibration_factor_mean,spend_calibration_factor_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_valendin_mape_mean,spend_valendin_mape_std,spend_horizon_abs_bias_pct_mean,spend_horizon_abs_bias_pct_std,spend_horizon_bias_pct_mean,spend_horizon_bias_pct_std,spend_weekly_mean_pct_mape_mean,spend_weekly_mean_pct_mape_std,spend_weekly_mean_pct_bias_pct_mean,spend_weekly_mean_pct_bias_pct_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_mase_mean,spend_mase_std,spend_mase_scale_mean,spend_mase_scale_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std
lstm_base,cdnow,sample,v6,strict,2,1.455978810787201,0.007298569756631519,0.7997748553752899,0.005515041568196016,-0.009727085310383236,0.07906041083213246,2.8224620111368424,0.006986349782665222,3.0810612225811616,2.2446377826678607,1.587199845840301,4.357277986018749,11.310743408707472,0.21754016914608687,1196.0,0.0,1214.9828952252865,52.113051667014254,24.588572627624938,0.4729134111871434,1.5871985974319802,4.357278567476108,26.428068882869177,1.568995460261021,8.80473219475868,5.039987664898985,1.5871985974319802,4.357278567476108,24.588572627624938,0.4729134111871434,24.588572627624938,0.4729134111871434,0.46509232774309284,0.01016237000429495,0.08338133039507842,0.0,0.75,0.0,120.0,0.0,42.51620292663574,0.10523899485776196,0.0,0.0,0.0,0.0,2.8224620111368424,0.006986349782665222,1.0,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,1.0,0.0,98.5,2.1213203435596424,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,dunnhumby,sample,v6,strict,2,3.4957369565963745,0.2723800776478382,2.1370991468429565,0.09307018816830259,0.8539929310671122,0.00064211856421117,1.1760817926129397,0.046530978178741376,8.875621740491006,1.6663305577886103,8.87561808377906,1.6663261639343891,263.42845325777307,49.45669095516596,11872.0,0.0,12925.713813031092,197.82676382066384,8.875621740491006,1.6663305577886103,8.875621740491006,1.6663305577886103,8.895677800712644,1.6688182351238952,8.895677800712644,1.6688182351238952,8.875621740491006,1.6663305577886103,8.875621740491006,1.6663305577886103,8.875621740491006,1.6663305577886103,1.0167744775414158,0.025383954473828345,0.8235297098438245,0.0,0.9,0.0,2215.0,0.0,1884.8476257324219,74.57287774887955,0.0,0.0,0.0,0.0,1.1760817926129397,0.046530978178741376,1.0,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint,dunnhumby,sample,v6,strict,3,3.9427949587504068,0.1484420923556974,2.2809595266977944,0.013386224433935758,0.8362108287351323,0.004768822533340599,1.2046836508239007,0.10630496414306541,8.485324292419426,2.6305831840547,8.485323485231357,2.6305798242433704,251.84442499900857,78.07570890274349,11872.0,0.0,12879.377699996034,312.30283561097394,8.485324292419426,2.6305831840547,8.485324292419426,2.6305831840547,8.504886916688863,2.6346103143304975,8.504886916688863,2.6346103143304975,8.485324292419426,2.6305831840547,8.485324292419426,2.6305831840547,8.485324292419426,2.6305831840547,1.050082378626146,0.010750412951319788,0.8235297098438245,0.0,0.85,0.08660254037844388,2215.0,0.0,1847.803466796875,155.49373614748177,63355.44140625,0.0,66973.25846354167,1544.750335636937,1.2046836508239007,0.10630496414306541,0.9463160804552485,0.0217821371680117,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,95.66666666666667,5.773502691896257,100.0,0.0,1.4441357244157953,0.0242201153845224,0.9463160804552485,0.0217821371680117,64.10957209269206,1.0078362727631383,102.72559865315755,1.9878862248642606,0.8296967235822882,0.00223016673979689,1.049696445465088,0.016610382684010893,1.4950557549794514,0.04043499310721143,0.49204395214716595,0.027464467104285344,-2.6439625985683866,2.207837652765729,3312.2249785482686,379.67042674103504,347125.7604829216,0.0,337947.8806645245,7663.975595309266,3.8167435040721824,0.4375018739177841,2.643963906806817,2.207838330594404,-2.643963906806817,2.207838330594404,3.729624959920553,0.3739079158145537,-2.5071485849720108,2.216780795535086,-2.6439639068068312,2.2078383305943987,3.8167435040721824,0.4375018739177841,0.9741789218912569,0.000425628534374376,27.51521755817735,0.0,63.938072204589844,1.0027500664570759,102.44700622558594,1.9801203951681061,0.7921254748886515,0.0028310130951582674,3.3965845204340055,0.006767975083708918,0.8296957140526602,0.0022343953553907556,346205.21875,0.0,337040.8854166667,7649.777409722081
transformer_joint,dunnhumby,sample,v6,strict,1,3.969561815261841,0.0,2.3142576217651367,0.0,0.838019382265562,0.0,1.0435528651151527,0.0,9.875551976748012,0.0,9.875554087348384,0.0,293.106382669881,0.0,11872.0,0.0,13044.425530679524,0.0,9.875551976748012,0.0,9.875551976748012,0.0,9.904026898230756,0.0,9.904026898230756,0.0,9.875551976748012,0.0,9.875551976748012,0.0,9.875551976748012,0.0,1.0595896255451966,0.0,0.8235297098438245,0.0,0.9,0.0,2215.0,0.0,2122.5565795898438,0.0,63355.44140625,0.0,66183.966796875,0.0,1.0435528651151527,0.0,0.9572626796561466,0.0,2.0,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,30.0,0.0,1.0,0.0,97.0,0.0,100.0,0.0,1.4596471809703107,0.0,0.9572626796561466,0.0,66.90826416015625,0.0,106.80767822265625,0.0,0.8181590193262809,0.0,1.0144760608673096,0.0,1.5146260261535645,0.0,0.4789127707481384,0.0,1.1960092992236964,0.0,4916.800291961503,0.0,347125.7604829216,0.0,351277.39608553424,0.0,5.665727931135098,0.0,1.1960033150051648,0.0,1.1960033150051648,0.0,5.598306732910712,0.0,1.4050742964532617,0.0,1.1960033150051395,0.0,5.665727931135098,0.0,1.0007391333298148,0.0,27.51521755817735,0.0,66.7282943725586,0.0,106.51522064208984,0.0,0.7802134100354299,0.0,3.367102941901643,0.0,0.8181664089997445,0.0,346205.21875,0.0,350311.9375,0.0
lstm_base,tafeng,sample,v6,strict,2,1.807413637638092,0.006278110260485754,0.9613842666149139,0.019646458405413677,0.6153886409810937,0.0048439961224905825,1.863180441812088,0.028675911836976063,4.231735737377594,3.0323359787370436,4.2317405794636045,3.032335040988201,3009.4048290826377,1581.9137420736965,30127.0,0.0,31401.895025599748,913.5518603141093,49.94531199725559,26.254086734054116,4.231735737377594,3.0323359787370436,59.63857880941693,29.32691478428502,18.909323227527985,4.943302304889701,4.231735737377594,3.0323359787370436,49.94531199725559,26.254086734054116,49.94531199725559,26.254086734054116,0.8615966040444634,0.032122305337033065,0.3518873876671712,0.0,0.75,0.0,2897.0,0.0,1555.0523681640625,23.933561994663226,0.0,0.0,0.0,0.0,1.863180441812088,0.028675911836976063,1.0,0.0,2.0,0.0,27809.0,0.0,12.0,0.0,5.0,0.0,30.0,0.0,1.0,0.0,65.0,14.142135623730951,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,uci,sample,v6,strict,2,2.826962471008301,0.48154257992764016,1.3540256023406982,0.0708702629458564,0.6375597123890058,0.011392362071829287,2.9297080272619507,0.09043432566870689,10.984678003964904,5.630072253148039,-10.984682722237904,5.630067966636199,72.23376433651609,5.345595489052799,8413.0,0.0,7488.859039526433,473.6579786573444,22.32352160643549,1.6520323631923555,-10.984678003964904,5.630072253148039,21.09322073173002,1.0223974158567153,-7.062909536790622,5.992417971402567,-10.984678003964904,5.630072253148039,22.32352160643549,1.6520323631923555,22.32352160643549,1.6520323631923555,0.9009948110749673,0.011570596115539098,0.11463343958272965,0.0,0.75,0.0,662.0,0.0,226.06878662109375,6.978298889370328,0.0,0.0,0.0,0.0,2.9297080272619507,0.09043432566870689,1.0,0.0,2.0,0.0,4930.0,0.0,78.0,0.0,26.0,0.0,30.0,0.0,1.0,0.0,97.5,3.5355339059327378,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transformer_joint_cdnow_v6b,unknown,sample,,strict,1,1.5322883129119873,0.0,0.6040496826171875,0.0,0.531708334696816,0.0,3.7215524616572124,0.0,6.65298468592175,0.0,-6.652985129468019,0.0,20.701878091463676,0.0,1196.0,0.0,1116.4303031563759,0.0,45.004082807529734,0.0,-6.65298468592175,0.0,48.0725427574522,0.0,-5.544662608816526,0.0,-6.65298468592175,0.0,45.004082807529734,0.0,45.004082807529734,0.0,0.41313245930208803,0.0,0.08338133039507842,0.0,0.9,0.0,120.0,0.0,32.24460792541504,0.0,4587.64013671875,0.0,1584.2616577148438,0.0,3.7215524616572124,0.0,2.895759115533991,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,1.2422531797506298,0.0,2.895759115533991,0.0,20.732311248779297,0.0,60.692771911621094,0.0,0.5453527077183177,0.0,0.8017113208770752,0.0,1.6964021921157837,0.0,0.0072272419929504395,0.0,-16.324067831016958,0.0,686.2805245532456,0.0,43103.43998063614,0.0,36067.20280246446,0.0,41.396449207767034,0.0,16.32407339491384,0.0,-16.32407339491384,0.0,44.94041197084561,0.0,-12.861198621293285,0.0,-16.32407339491384,0.0,41.396449207767034,0.0,0.6736897987374544,0.0,1.7675491305339937,0.0,20.342172622680664,0.0,59.520084381103516,0.0,0.4366367180348707,0.0,4.883372853671703,0.0,0.5457777183069991,0.0,42218.734375,0.0,35506.88671875,0.0
transformer_joint_uci_v6b,unknown,sample,,strict,1,2.866938591003418,0.0,1.2917333841323853,0.0,0.7491732823899458,0.0,2.0016230810803277,0.0,5.223964154454626,0.0,-5.223965143230715,0.0,71.48552298918366,0.0,8413.0,0.0,7973.507895685732,0.0,22.092280966584752,0.0,-5.223964154454626,0.0,21.096824755134755,0.0,-1.0597873600515773,0.0,-5.223964154454626,0.0,22.092280966584752,0.0,22.092280966584752,0.0,0.8625648098471806,0.0,0.11463343958272965,0.0,0.75,0.0,662.0,0.0,330.7315979003906,0.0,287846.2421875,0.0,171730.890625,0.0,2.0016230810803277,0.0,1.6761471459206205,0.0,2.0,0.0,4930.0,0.0,78.0,0.0,26.0,0.0,30.0,0.0,1.0,0.0,98.0,0.0,100.0,0.0,1.2026663615460833,0.0,1.6761471459206205,0.0,603.8713989257812,0.0,3161.483154296875,0.0,0.8251497364432439,0.0,1.994524359703064,0.0,3.010688304901123,0.0,0.19675153493881226,0.0,-21.44237442873148,0.0,45520.575508011025,0.0,4266929.679746482,0.0,3351998.633342256,0.0,27.73739086505419,0.0,21.442374612993063,0.0,-21.442374612993063,0.0,25.354091688188685,0.0,-15.598353796357472,0.0,-21.442374612993046,0.0,27.73739086505419,0.0,1.2681168156090745,0.0,36.73676557100432,0.0,588.8323364257812,0.0,3082.953369140625,0.0,0.5923580272450686,0.0,6.217584233748903,0.0,0.8254838413926976,0.0,4160751.5,0.0,3277702.0,0.0
