model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_horizon_abs_bias_pct_mean,freq_horizon_abs_bias_pct_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_valendin_mape_mean,freq_valendin_mape_std,freq_horizon_bias_pct_mean,freq_horizon_bias_pct_std,freq_weekly_mean_pct_mape_mean,freq_weekly_mean_pct_mape_std,freq_weekly_mean_pct_bias_pct_mean,freq_weekly_mean_pct_bias_pct_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_mape_mean,freq_mape_std,freq_mase_mean,freq_mase_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_valendin_mape_mean,spend_valendin_mape_std,spend_horizon_abs_bias_pct_mean,spend_horizon_abs_bias_pct_std,spend_horizon_bias_pct_mean,spend_horizon_bias_pct_std,spend_weekly_mean_pct_mape_mean,spend_weekly_mean_pct_mape_std,spend_weekly_mean_pct_bias_pct_mean,spend_weekly_mean_pct_bias_pct_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_mase_mean,spend_mase_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std,cohort_size_mean,cohort_size_std,calibration_weeks_mean,calibration_weeks_std,holdout_weeks_mean,holdout_weeks_std,n_scenarios_mean,n_scenarios_std,freq_mase_scale_mean,freq_mase_scale_std,smearing_factor_mean,smearing_factor_std,spend_mase_scale_mean,spend_mase_scale_std,training_batch_size_resolved_mean,training_batch_size_resolved_std,validation_batch_size_resolved_mean,validation_batch_size_resolved_std,inference_batch_size_resolved_mean,inference_batch_size_resolved_std,epochs_completed_mean,epochs_completed_std,max_epochs_configured_mean,max_epochs_configured_std
pareto_nbd,cdnow,,,strict,0,1.227367877960205,0.0,0.5639693737030029,0.0,0.7164898653703912,0.0,5.340272367671893,0.0,5.340273809872636,0.0,80.77821411432608,0.0,12798.0,0.0,13481.448057614649,0.0,16.41063890430128,0.0,5.340272367671893,0.0,16.785845168381126,0.0,8.19046036153627,0.0,5.340272367671893,0.0,16.41063890430128,0.0,16.41063890430128,0.0,1.0508805469633673,0.0,20.41753387451172,0.0,56.59851837158203,0.0,0.7387677514400722,0.0,1.0216645002365112,0.0,1.7437242269515991,0.0,-0.022832751274108887,0.0,1.3288060864574907,0.0,3231.892961451195,0.0,477773.8293311596,0.0,484122.49972895044,0.0,17.58765588214918,0.0,1.3288024600841815,0.0,1.3288024600841815,0.0,17.42227697242552,0.0,5.297564748198948,0.0,1.3288024600841883,0.0,17.58765588214918,0.0,0.9904685819722332,0.0,19.975358963012695,0.0,55.334083557128906,0.0,0.4907357038849247,0.0,5.649719691372049,0.0,0.7386889482930552,0.0,467470.65625,0.0,473643.1875,0.0,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
lstm_base,cdnow,sample,final,strict,1,1.3759064674377441,0.0,0.5622373223304749,0.0,0.6460866114462221,0.0,30.035158800018554,0.0,-30.035157165670416,0.0,168.25768246831228,0.0,12798.0,0.0,8954.100376773626,0.0,34.18268279556274,0.0,-30.035158800018554,0.0,32.751200101938544,0.0,-27.716618322676588,0.0,-30.035158800018554,0.0,34.18268279556274,0.0,34.18268279556274,0.0,0.3959764019189517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23502.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,0.08399618889339414,0.0,,,,,256.0,0.0,2350.0,0.0,256.0,0.0,29.0,0.0,150.0,0.0
lstm_base,cdnow,sample,final_hpo,strict,3,1.3241418997446697,0.03657649722521793,0.6087940732638041,0.03279747036386617,0.6713086287005391,0.009839388892933239,14.185291215980769,14.683167245970292,-5.7159047067901225,21.643053735790332,121.76965715506901,32.31514790321907,12798.0,0.0,12066.478265717626,2769.877935137426,24.73832697321296,6.565040205373465,-5.715906659496597,21.643053095307284,25.107200465609424,4.74920674345011,-3.604531197736341,21.73301488724963,-5.715906659496597,21.643053095307284,24.73832697321296,6.565040205373465,24.73832697321296,6.565040205373465,0.44885015075469425,0.048430824385288014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23502.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,0.08399618889339415,1.6996749443881478e-17,,,,,256.0,0.0,2350.0,0.0,256.0,0.0,17.0,2.6457513110645907,150.0,0.0
lstm_joint,cdnow,sample,final,strict,1,2.0755107402801514,0.0,0.9040531516075134,0.0,0.6416738376777199,0.0,20.09590839073163,0.0,-20.095900291852352,0.0,113.61537292045661,0.0,20644.0,0.0,16495.400671817362,0.0,21.4638613829578,0.0,-20.09590839073163,0.0,19.643616621243403,0.0,-17.828407364625303,0.0,-20.09590839073163,0.0,21.4638613829578,0.0,21.4638613829578,0.0,0.3885242380923503,0.0,33.568965911865234,0.0,94.56627655029297,0.0,0.6859777001401166,0.0,2.0065951347351074,0.0,2.2481229305267334,0.0,-0.3108416795730591,0.0,-25.357885919467833,0.0,5270.393063603304,0.0,779412.1193928575,0.0,581769.7052176406,0.0,26.37184159269213,0.0,25.357883109281826,0.0,-25.357883109281826,0.0,23.22639401717086,0.0,-21.861905077168707,0.0,-25.357883109281822,0.0,26.37184159269213,0.0,0.670484492378598,0.0,32.495201110839844,0.0,91.51546478271484,0.0,0.4106928162080992,0.0,5.040411468621181,0.0,0.6862475557573794,0.0,755029.6875,0.0,563498.9375,0.0,23570.0,0.0,39.0,0.0,39.0,0.0,30.0,0.0,0.0974242458075609,0.0,1.267629999767555,0.0,2.0542783084545917,0.0,256.0,0.0,2357.0,0.0,256.0,0.0,63.0,0.0,150.0,0.0
lstm_joint,cdnow,sample,final_hpo,strict,3,2.20810333887736,0.07532171402108251,0.9211257497469584,0.03504200145681289,0.636790851796306,0.015726402474328736,15.954271700914854,11.990448838181697,-12.844843311010465,16.67616214355302,121.27862583705758,29.17248156846682,20644.0,0.0,17992.31180493285,3442.6262510407682,22.911579188361003,5.511174099836303,-12.844837216949948,16.67615893741895,22.378987258388594,4.321840254274981,-9.697712804155392,17.821837407351914,-12.844837216949948,16.67615893741895,22.911579188361003,5.511174099836303,22.911579188361003,5.511174099836303,0.4043585284949425,0.033086765055080174,34.79629135131836,1.7197727415727833,102.27353922526042,1.8253255990961132,0.6830161360625464,0.01074354950329413,1.9724249045054119,0.11884695948075574,2.2488913536071777,0.10307137512542816,-0.31357471148173016,0.12037462446943745,-16.119726667925093,15.628397742258105,5179.632571039171,731.092868564418,779412.1193928575,0.0,653772.9977476684,121809.57357706789,25.917696844114385,3.658221519088377,17.074945570916512,14.024423408126104,-16.119729026417875,15.62839100730875,24.187744538517535,1.698437998859012,-11.33670205953292,16.985055474181873,-16.119729026417875,15.62839100730873,25.917696844114385,3.658221519088377,0.709351815307155,0.056712451265618004,33.66311899820963,1.6523911108405602,98.91527811686198,1.7620397250988178,0.40057372792951645,0.015504507819190804,4.960636665922276,0.0665044874315365,0.6832635857493251,0.010694014231279162,755029.6875,0.0,632314.25,117090.92785009809,23570.0,0.0,39.0,0.0,39.0,0.0,30.0,0.0,0.09742424580756089,1.6996749443881478e-17,1.2772684339962723,0.00857211826655545,2.0542783084545917,0.0,256.0,0.0,2357.0,0.0,256.0,0.0,60.333333333333336,2.0816659994661326,150.0,0.0
transformer_joint,cdnow,sample,final,strict,1,2.047427177429199,0.0,0.8897199630737305,0.0,0.6408406546864692,0.0,16.0735935291986,0.0,-16.073601894012786,0.0,133.9341847675924,0.0,20644.0,0.0,17325.76735183224,0.0,25.302427852819726,0.0,-16.0735935291986,0.0,25.149011273095667,0.0,-14.490812960236745,0.0,-16.0735935291986,0.0,25.302427852819726,0.0,25.302427852819726,0.0,0.3946593680328664,0.0,33.080570220947266,0.0,96.2597885131836,0.0,0.6879417280578604,0.0,1.7964855432510376,0.0,2.079807758331299,0.0,-0.12190592288970947,0.0,-20.641470646867344,0.0,6164.636121451596,0.0,779412.1193928575,0.0,618529.9827247399,0.0,30.84642934778767,0.0,20.641472292404274,0.0,-20.641472292404274,0.0,29.814528692484625,0.0,-18.208737911837602,0.0,-20.641472292404263,0.0,30.84642934778767,0.0,0.6861495190024608,0.0,32.05071258544922,0.0,93.09355926513672,0.0,0.413555961463844,0.0,5.023823429742815,0.0,0.6879440138765046,0.0,755029.6875,0.0,601125.6875,0.0,23570.0,0.0,39.0,0.0,39.0,0.0,30.0,0.0,0.0974242458075609,0.0,1.2647092182792072,0.0,2.0542783084545917,0.0,256.0,0.0,2357.0,0.0,256.0,0.0,87.0,0.0,150.0,0.0
transformer_joint,cdnow,sample,final_hpo,strict,3,2.1713572343190513,0.12607868709155243,0.8551223278045654,0.031369604863722415,0.6440584768978891,0.004877659628242435,33.87688384751373,15.576672195389591,-33.87688721349625,15.576667788045816,204.45440764967194,65.99434735287034,20644.0,0.0,13650.456098519266,3215.648208016227,38.624888095026186,12.467445973464168,-33.87688384751373,15.576672195389591,38.27999612398156,12.526174941051833,-32.96892444779094,16.21475411686814,-33.87688384751373,15.576672195389591,38.624888095026186,12.467445973464168,38.624888095026186,12.467445973464168,0.35875702666381293,0.03143560526045561,31.92875607808431,1.0000783961712747,102.302490234375,5.255078335652327,0.6846358911043712,0.0041533386082768615,1.6853878895441692,0.09861624785124246,1.9749183654785156,0.09135576931519497,-0.013042052586873373,0.09477617772329,-38.56757210870094,15.546739680615504,8859.242110432919,2491.8502203298403,779412.1193928575,0.0,478811.7707758069,121173.17687095485,44.32962148138367,12.468648635918857,38.567574347087486,15.54674014632281,-38.567574347087486,15.54674014632281,43.37672932041519,12.823026572720023,-36.716031643414546,16.056375028428057,-38.56757434708749,15.546740146322819,44.32962148138367,12.468648635918857,0.6233076184722585,0.054502188869374336,30.928599675496418,0.9736264741432893,98.91248830159505,5.061916129759244,0.4141897657894273,0.0005935178485085253,5.004747722882261,0.024802900619072796,0.6846361866537607,0.0041881626246390215,755029.6875,0.0,465820.7395833333,117300.49337196739,23570.0,0.0,39.0,0.0,39.0,0.0,30.0,0.0,0.09742424580756089,1.6996749443881478e-17,1.2573598421862135,0.013657996152341645,2.0542783084545917,0.0,256.0,0.0,2357.0,0.0,256.0,0.0,82.66666666666667,4.509249752822894,150.0,0.0
bgnbd_gg,cdnow,,,strict,0,1.2420098781585693,0.0,0.5800448060035706,0.0,0.7089514905010389,0.0,7.749258877512243,0.0,7.74925769651508,0.0,86.09279378219097,0.0,12798.0,0.0,13789.750151144017,0.0,17.490331601320246,0.0,7.749258877512243,0.0,18.195511311229406,0.0,10.676088264874421,0.0,7.749258877512237,0.0,17.490331601320246,0.0,17.490331601320246,0.0,1.0577635631508016,0.0,20.059139251708984,0.0,56.546852111816406,0.0,0.7400920169102434,0.0,0.9948548078536987,0.0,1.6945387125015259,0.0,0.03405582904815674,0.0,-0.8436261876533888,0.0,3062.8747524477794,0.0,477773.8293311596,0.0,473743.1802304417,0.0,16.667874771442325,0.0,0.8436312023118681,0.0,-0.8436312023118681,0.0,16.178994152691352,0.0,3.064425880512606,0.0,-0.8436312023118709,0.0,16.667874771442325,0.0,0.9720795970034293,0.0,19.62381935119629,0.0,55.28596496582031,0.0,0.4925872383489976,0.0,5.682549061650176,0.0,0.7400147293813922,0.0,467470.65625,0.0,463457.8125,0.0,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
pareto_ggg,cdnow,,,strict,0,1.4531415700912476,0.0,0.561089277267456,0.0,0.6739986242458007,0.0,73.95038253513177,0.0,6.366313034751523,0.0,364.0065368017755,0.0,12798.0,0.0,22262.169956846163,0.0,73.95038253513177,0.0,73.95038253513177,0.0,79.72119364834975,0.0,79.72119364834975,0.0,73.95038253513177,0.0,73.95038253513177,0.0,73.95038253513177,0.0,1.4011031328896961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23502.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
pareto_nbd,dunnhumby,,,strict,0,6.964311122894287,0.0,3.847224235534668,0.0,-0.12022170581442937,0.0,73.72207419500386,0.0,-73.72207435957505,0.0,2188.0711621077144,0.0,11872.0,0.0,3119.7153515691434,0.0,73.72207419500386,0.0,-73.72207419500386,0.0,73.71750230186382,0.0,-73.71750230186382,0.0,-73.72207419500386,0.0,73.72207419500386,0.0,73.72207419500386,0.0,1.2139975325591175,0.0,111.24744415283203,0.0,194.98196411132812,0.0,0.11045057144165712,0.0,1.8809969425201416,0.0,2.561251640319824,0.0,-0.49006128311157227,0.0,-71.24511074156844,0.0,61827.53538890603,0.0,347125.75980485417,0.0,99815.61824923006,0.0,71.24511349853609,0.0,71.24511349853609,0.0,-71.24511349853609,0.0,71.20204623556347,0.0,-71.20204623556347,0.0,-71.24511349853609,0.0,71.24511349853609,0.0,0.9600132797851263,0.0,110.95166015625,0.0,194.46617126464844,0.0,0.25579111174153696,0.0,2.1934042843269292,0.0,0.11044191181146758,0.0,346205.21875,0.0,99548.390625,0.0,2498.0,0.0,80.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
