model,dataset,version,seed,mode,freq_rmse,freq_mae,freq_mape,bias_pct,spend_mae,spend_rmse,spend_r2,freq_normalized_gini,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_weekly_mape,freq_weekly_bias_pct,freq_mase,freq_mase_scale,run_valid,run_invalid_reason,run_warning,smearing_factor,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_weekly_mape,spend_weekly_bias_pct,spend_mase,spend_mase_scale,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred
pareto_nbd,cdnow,,,,1.1631473302841187,0.5381752252578735,8.347710957096572,8.347710957096572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bgnbd_gg,cdnow,,,,1.2420098781585693,0.5800448060035706,7.74925769651508,7.74925769651508,1.0097427895448428,1.7008578462170685,0.026838214954650774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pareto_ggg,cdnow,,,,1.2724459171295166,0.550102174282074,13.654687173390467,13.654687173390467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,cdnow,v2,123.0,sample,1.1718413829803467,0.5656025409698486,9.323375280884196,-9.323375280884196,,,,0.6718299028109558,11.047156639074764,1196.0,1084.4924947405234,23.752493015965545,-4.503859394703938,0.419541174109348,0.08338133039507842,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,cdnow,v2,42.0,sample,1.2492578029632568,0.5182048678398132,50.62353842234531,-50.62353842234531,,,,0.6548479989528454,23.311415017869038,1196.0,590.5424948297441,47.68777496312203,-47.599961049064476,0.3336262777169718,0.08338133039507842,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,cdnow,v2,7.0,sample,1.22077476978302,0.5574133992195129,33.08639271203491,-33.08639271203491,,,,0.636920383520403,15.732568893366707,1196.0,800.2867787163705,31.033878952183176,-29.37195066889969,0.37173170700477914,0.08338133039507842,True,,,,,,,,,,,,,,,,,,,,,,,,
lstm_joint,cdnow,v2,123.0,sample,1.2947304248809814,0.6439487934112549,0.8119308828908862,-0.8119308828908862,,,,0.6465803854838182,11.409313221748631,1196.0,1186.2892835270613,25.615334140572095,6.739366518509872,0.44923475114014977,0.08338133039507842,True,,,1.2091710080272136,23.225601196289062,51.55924987792969,0.6656315369666362,2.034527540206909,2.2392914295196533,-0.7298697233200073,-6.537888509472127,538.8714091814826,43103.43998063614,40285.38453505643,34.30651205841612,4.906796616815153,0.7434178213590961,1.7675491305339937,22.716899871826172,50.50696563720703,0.39220119627817196,4.626279636012996,0.6665192568867778,42218.734375,39325.07421875
lstm_joint,cdnow,v2,42.0,sample,1.2654521465301514,0.577735960483551,25.285563899521847,-25.285563899521847,,,,0.6344096665466802,13.725865541921499,1196.0,893.5846371715888,27.19100323164642,-20.639298360943386,0.3912950538946023,0.08338133039507842,True,,,1.2525115836001004,21.880115509033203,49.731510162353516,0.6780340167904471,2.024097442626953,2.178013324737549,-0.636489748954773,-10.944892736223185,407.73334904824424,43103.43998063614,38385.81613947275,25.42900573008447,-2.1442983265677227,0.7184596713772065,1.7675491305339937,21.411540985107422,48.6921272277832,0.39810215735729443,5.08689026807625,0.6788608996293737,42218.734375,37588.296875
lstm_joint,cdnow,v2,7.0,sample,1.2599140405654907,0.593890905380249,16.656448211159596,-16.656448211159596,,,,0.6579002912398966,11.38053578360436,1196.0,996.7889228705317,23.03039084446797,-11.08130936720241,0.4107198194897509,0.08338133039507842,True,,,1.2014908368971116,20.87603187561035,51.11408615112305,0.670696589934288,1.9305692911148071,2.0380260944366455,-0.43288612365722656,-33.91611566652892,630.7675161862591,43103.43998063614,28484.424944464925,34.86625428810504,-27.130129685591292,0.6366538868855014,1.7675491305339937,20.43206024169922,50.06215286254883,0.3649193789821036,5.26237373358182,0.671444994837344,42218.734375,27897.845703125
transformer_joint,cdnow,v2,123.0,sample,1.2360929250717163,0.5362253189086914,23.407222275749895,-23.407222275749895,,,,0.6699245721391407,12.52556326938793,1196.0,916.0496392389759,24.140896819973094,-18.47787655747308,0.3937129283059592,0.08338133039507842,True,,,1.2633807106490387,19.0711669921875,48.958465576171875,0.6939870003400406,1.4031063318252563,1.738364815711975,-0.042495131492614746,-23.2245379936345,527.4235721195471,43103.43998063614,33092.86355167728,29.301601510595525,-15.655775677092112,0.666517093584948,1.7675491305339937,18.67742919921875,47.955169677734375,0.42468848248071206,5.165495847081408,0.6944657655636564,42218.734375,32413.185546875
