run_name,model,dataset,version,seed,mode,protocol_variant,quality_tier,metric_definition_version,freq_rmse,freq_mae,freq_normalized_gini,freq_horizon_abs_bias_pct,bias_pct,freq_weekly_mae,freq_weekly_total_true,freq_weekly_total_pred,freq_valendin_mape,freq_horizon_bias_pct,freq_weekly_mean_pct_mape,freq_weekly_mean_pct_bias_pct,freq_weekly_bias_pct,freq_weekly_mape,freq_mape,freq_mase,spend_mae_raw,spend_rmse_raw,spend_normalized_gini,spend_mae_log,spend_rmse_log,spend_r2_log,spend_bias_pct,spend_weekly_mae,spend_weekly_total_true,spend_weekly_total_pred,spend_valendin_mape,spend_horizon_abs_bias_pct,spend_horizon_bias_pct,spend_weekly_mean_pct_mape,spend_weekly_mean_pct_bias_pct,spend_weekly_bias_pct,spend_weekly_mape,spend_mase,clv_mae,clv_rmse,clv_spearman,clv_decile_lift,clv_normalized_gini,clv_total_true,clv_total_pred,protocol_name,cohort_size,calibration_weeks,holdout_weeks,inference_mode,n_scenarios,freq_mase_scale,smearing_factor,spend_mase_scale,calibration_temperature_source,smearing_source,calibration_source,training_batch_size_config,training_batch_size_resolved,validation_batch_size_config,validation_batch_size_resolved,inference_batch_size_config,inference_batch_size_resolved,run_valid,run_invalid_reason,run_warning,epochs_completed,max_epochs_configured
pareto_nbd_cdnow,pareto_nbd,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.227367877960205,0.5639693737030029,0.7164898653703912,5.340272367671893,5.340273809872636,80.77821411432608,12798.0,13481.448057614649,16.41063890430128,5.340272367671893,16.785845168381126,8.19046036153627,5.340272367671893,16.41063890430128,16.41063890430128,1.0508805469633673,20.41753387451172,56.59851837158203,0.7387677514400722,1.0216645002365112,1.7437242269515991,-0.022832751274108887,1.3288060864574907,3231.892961451195,477773.8293311596,484122.49972895044,17.58765588214918,1.3288024600841815,1.3288024600841815,17.42227697242552,5.297564748198948,1.3288024600841883,17.58765588214918,0.9904685819722332,19.975358963012695,55.334083557128906,0.4907357038849247,5.649719691372049,0.7386889482930552,467470.65625,473643.1875,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,
lstm_base_cdnow_final_hpo_seed2024_sample,lstm_base,cdnow,final_hpo,2024.0,sample,strict,A,valendin_aggregate_mape_v1,1.285156011581421,0.5714080929756165,0.6604833782092564,29.851796813216048,-29.851794164615562,156.1525524922002,12798.0,8977.56704384461,31.723444013105212,-29.851796813216048,29.982272172106633,-27.763448998848784,-29.851796813216048,31.723444013105212,31.723444013105212,0.3939644278748968,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,0.08399618889339414,,,config,,none,256,256.0,full,2350.0,256,256.0,True,,,15.0,150.0
lstm_base_cdnow_final_hpo_seed42_sample,lstm_base,cdnow,final_hpo,42.0,sample,strict,A,valendin_aggregate_mape_v1,1.3577030897140503,0.6222534775733948,0.6797085667247684,0.7381402928883405,0.738137184521019,117.13333454298285,12798.0,12892.46719468385,23.796426770726317,0.7381402928883405,24.844571871168615,2.594115335575599,0.7381402928883405,23.796426770726317,23.796426770726317,0.46700792637861027,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,0.08399618889339414,,,config,,none,256,256.0,full,2350.0,256,256.0,True,,,16.0,150.0
lstm_base_cdnow_final_hpo_seed7_sample,lstm_base,cdnow,final_hpo,7.0,sample,strict,A,valendin_aggregate_mape_v1,1.3295665979385376,0.6327206492424011,0.6737339411675928,11.965936541837916,11.965942859724175,92.02308443002403,12798.0,14329.400558624417,18.69511013580735,11.965936541837916,20.494757353553034,14.355740070064163,11.965936541837916,18.69511013580735,18.69511013580735,0.48557809801057583,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,0.08399618889339414,,,config,,none,256,256.0,full,2350.0,256,256.0,True,,,20.0,150.0
lstm_base_cdnow_final_seed42_sample,lstm_base,cdnow,final,42.0,sample,strict,A,valendin_aggregate_mape_v1,1.3759064674377441,0.5622373223304749,0.6460866114462221,30.035158800018554,-30.035157165670416,168.25768246831228,12798.0,8954.100376773626,34.18268279556274,-30.035158800018554,32.751200101938544,-27.716618322676588,-30.035158800018554,34.18268279556274,34.18268279556274,0.3959764019189517,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_master_52x26,23502,52,26,sample,30,0.08399618889339414,,,config,,none,256,256.0,full,2350.0,256,256.0,True,,,29.0,150.0
lstm_joint_cdnow_final_hpo_seed2024_sample,lstm_joint,cdnow,final_hpo,2024.0,sample,strict,A,valendin_aggregate_mape_v1,2.211301565170288,0.9610776305198669,0.6484069182275404,4.66415172594736,4.664150297907383,99.5282073030487,20644.0,21606.867482304573,18.802558054732124,4.66415172594736,20.289377171251093,9.007458826747264,4.66415172594736,18.802558054732124,18.802558054732124,0.43938890674984393,36.755653381347656,102.96080017089844,0.6887433294933938,2.065779685974121,2.353485345840454,-0.4365907907485962,1.4328347150103675,4403.48144482093,779412.1193928575,790579.7296642596,22.034014108196587,1.4328248167479538,1.4328248167479538,22.74359828204592,7.682095792876607,1.4328248167479258,22.034014108196587,0.7733717354178996,35.54469680786133,99.56607055664062,0.4115732514047956,5.000149181379455,0.6889395036707066,755029.6875,763868.125,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2803968168972124,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,61.0,150.0
lstm_joint_cdnow_final_hpo_seed42_sample,lstm_joint,cdnow,final_hpo,42.0,sample,strict,A,valendin_aggregate_mape_v1,2.1312334537506104,0.8955975770950317,0.6430708285609724,14.658816105663933,-14.658825657576052,109.87776832693281,20644.0,17617.834003146738,20.757764797279496,-14.658816105663933,19.49906932494718,-11.620271414545897,-14.658816105663933,20.757764797279496,20.757764797279496,0.40004896208279656,33.536800384521484,100.204345703125,0.6896826651324403,1.838636875152588,2.1474132537841797,-0.1960279941558838,-21.265923660091893,5280.151436402669,779412.1193928575,613662.9312037847,26.420670258516793,21.26592390148967,-21.26592390148967,23.760677628112504,-16.698076679164398,-21.265923901489643,26.420670258516793,0.6892745624180334,32.448204040527344,96.92041015625,0.407307020806442,4.997905996224113,0.6899229899590678,755029.6875,593564.5,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2838369620721748,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,62.0,150.0
lstm_joint_cdnow_final_hpo_seed7_sample,lstm_joint,cdnow,final_hpo,7.0,sample,strict,A,valendin_aggregate_mape_v1,2.2817749977111816,0.9067020416259766,0.6188948086004052,28.539847271133272,-28.53985457336272,154.4299018811912,20644.0,14752.233929347247,29.17441471307139,-28.539847271133272,27.34851527896751,-26.480325824667545,-28.539847271133272,29.17441471307139,29.17441471307139,0.3736377166521871,34.09642028808594,103.65547180175781,0.6706224135618051,2.0128581523895264,2.2457754611968994,-0.30810534954071045,-28.526091058693755,5855.264831893913,779412.1193928575,557076.3323749608,29.298406165629764,28.52608799451191,-28.52608799451191,26.05895770539418,-24.99412529231097,-28.52608799451191,29.298406165629764,0.6654091480855316,32.996456146240234,100.25935363769531,0.3828409115773116,4.883854820163259,0.6709282636182008,755029.6875,539510.125,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2675715230194295,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,58.0,150.0
lstm_joint_cdnow_final_seed42_sample,lstm_joint,cdnow,final,42.0,sample,strict,A,valendin_aggregate_mape_v1,2.0755107402801514,0.9040531516075134,0.6416738376777199,20.09590839073163,-20.095900291852352,113.61537292045661,20644.0,16495.400671817362,21.4638613829578,-20.09590839073163,19.643616621243403,-17.828407364625303,-20.09590839073163,21.4638613829578,21.4638613829578,0.3885242380923503,33.568965911865234,94.56627655029297,0.6859777001401166,2.0065951347351074,2.2481229305267334,-0.3108416795730591,-25.357885919467833,5270.393063603304,779412.1193928575,581769.7052176406,26.37184159269213,25.357883109281826,-25.357883109281826,23.22639401717086,-21.861905077168707,-25.357883109281822,26.37184159269213,0.670484492378598,32.495201110839844,91.51546478271484,0.4106928162080992,5.040411468621181,0.6862475557573794,755029.6875,563498.9375,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.267629999767555,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,63.0,150.0
transformer_joint_cdnow_final_hpo_seed2024_sample,transformer_joint,cdnow,final_hpo,2024.0,sample,strict,A,valendin_aggregate_mape_v1,2.1671645641326904,0.8285334706306458,0.6416641669741333,44.99547669752087,-44.995476704793155,264.72306774967376,20644.0,11355.133790563792,50.01065511643711,-44.99547669752087,50.09791525411909,-44.82289853840615,-44.99547669752087,50.01065511643711,50.01065511643711,0.33617296365848376,31.281085968017578,104.84408569335938,0.6799740188023391,1.608202338218689,1.9127506017684937,0.05108612775802612,-48.362656181413655,11080.410909076234,779412.1193928575,402467.7029398894,55.443842185902405,48.362657838397276,-48.362657838397276,55.30370624391006,-46.92740399355518,-48.36265783839728,55.443842185902405,0.5889438388089303,30.307580947875977,101.34441375732422,0.41473246098610644,4.97670927662507,0.6799270454782327,755029.6875,392798.53125,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2416008311475017,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,83.0,150.0
transformer_joint_cdnow_final_hpo_seed42_sample,transformer_joint,cdnow,final_hpo,42.0,sample,strict,A,valendin_aggregate_mape_v1,2.047427177429199,0.8897199630737305,0.6408406546864692,16.0735935291986,-16.073601894012786,133.9341847675924,20644.0,17325.76735183224,25.302427852819726,-16.0735935291986,25.149011273095667,-14.490812960236745,-16.0735935291986,25.302427852819726,25.302427852819726,0.3946593680328664,33.080570220947266,96.2597885131836,0.6879417280578604,1.7964855432510376,2.079807758331299,-0.12190592288970947,-20.641470646867344,6164.636121451596,779412.1193928575,618529.9827247399,30.84642934778767,20.641472292404274,-20.641472292404274,29.814528692484625,-18.208737911837602,-20.641472292404263,30.84642934778767,0.6861495190024608,32.05071258544922,93.09355926513672,0.413555961463844,5.023823429742815,0.6879440138765046,755029.6875,601125.6875,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2647092182792072,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,87.0,150.0
transformer_joint_cdnow_final_hpo_seed7_sample,transformer_joint,cdnow,final_hpo,7.0,sample,strict,A,valendin_aggregate_mape_v1,2.2994799613952637,0.8471135497093201,0.6496706090330646,40.56158131582172,-40.561583041682816,214.70597043174965,20644.0,12270.467153161764,40.56158131582172,-40.56158131582172,39.593061844729924,-39.593061844729924,-40.56158131582172,40.56158131582172,40.56158131582172,0.34543874830008875,31.424612045288086,105.80359649658203,0.6859919264529141,1.6514757871627808,1.9321967363357544,0.03169363737106323,-46.698589497821835,9332.67930077093,779412.1193928575,415437.62666279136,46.69859291046093,46.698592910460924,-46.698592910460924,45.01195302485087,-45.01195302485087,-46.69859291046093,46.69859291046093,0.5948294976053843,30.427505493164062,102.29949188232422,0.4142808749183313,5.013710462278898,0.6860375006065448,755029.6875,403538.0,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.265769477131932,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,78.0,150.0
transformer_joint_cdnow_final_seed42_sample,transformer_joint,cdnow,final,42.0,sample,strict,A,valendin_aggregate_mape_v1,2.047427177429199,0.8897199630737305,0.6408406546864692,16.0735935291986,-16.073601894012786,133.9341847675924,20644.0,17325.76735183224,25.302427852819726,-16.0735935291986,25.149011273095667,-14.490812960236745,-16.0735935291986,25.302427852819726,25.302427852819726,0.3946593680328664,33.080570220947266,96.2597885131836,0.6879417280578604,1.7964855432510376,2.079807758331299,-0.12190592288970947,-20.641470646867344,6164.636121451596,779412.1193928575,618529.9827247399,30.84642934778767,20.641472292404274,-20.641472292404274,29.814528692484625,-18.208737911837602,-20.641472292404263,30.84642934778767,0.6861495190024608,32.05071258544922,93.09355926513672,0.413555961463844,5.023823429742815,0.6879440138765046,755029.6875,601125.6875,valendin_cdnow_master_39x39,23570,39,39,sample,30,0.0974242458075609,1.2647092182792072,2.0542783084545917,config,validation_teacher_forced,none,256,256.0,full,2357.0,256,256.0,True,,,87.0,150.0
bgnbd_gg_cdnow,bgnbd_gg,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.2420098781585693,0.5800448060035706,0.7089514905010389,7.749258877512243,7.74925769651508,86.09279378219097,12798.0,13789.750151144017,17.490331601320246,7.749258877512243,18.195511311229406,10.676088264874421,7.749258877512237,17.490331601320246,17.490331601320246,1.0577635631508016,20.059139251708984,56.546852111816406,0.7400920169102434,0.9948548078536987,1.6945387125015259,0.03405582904815674,-0.8436261876533888,3062.8747524477794,477773.8293311596,473743.1802304417,16.667874771442325,0.8436312023118681,-0.8436312023118681,16.178994152691352,3.064425880512606,-0.8436312023118709,16.667874771442325,0.9720795970034293,19.62381935119629,55.28596496582031,0.4925872383489976,5.682549061650176,0.7400147293813922,467470.65625,463457.8125,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,
pareto_ggg_cdnow,pareto_ggg,cdnow,,,,strict,A,valendin_aggregate_mape_v1,1.4531415700912476,0.561089277267456,0.6739986242458007,73.95038253513177,6.366313034751523,364.0065368017755,12798.0,22262.169956846163,73.95038253513177,73.95038253513177,79.72119364834975,79.72119364834975,73.95038253513177,73.95038253513177,73.95038253513177,1.4011031328896961,,,,,,,,,,,,,,,,,,,,,,,,,,cdnow_52x26,23502,52,26,benchmark_expected_total,0,,,,,,,,,,,,,,,,,
pareto_nbd_dunnhumby,pareto_nbd,dunnhumby,,,,strict,A,valendin_aggregate_mape_v1,6.964311122894287,3.847224235534668,-0.12022170581442937,73.72207419500386,-73.72207435957505,2188.0711621077144,11872.0,3119.7153515691434,73.72207419500386,-73.72207419500386,73.71750230186382,-73.71750230186382,-73.72207419500386,73.72207419500386,73.72207419500386,1.2139975325591175,111.24744415283203,194.98196411132812,0.11045057144165712,1.8809969425201416,2.561251640319824,-0.49006128311157227,-71.24511074156844,61827.53538890603,347125.75980485417,99815.61824923006,71.24511349853609,71.24511349853609,-71.24511349853609,71.20204623556347,-71.20204623556347,-71.24511349853609,71.24511349853609,0.9600132797851263,110.95166015625,194.46617126464844,0.25579111174153696,2.1934042843269292,0.11044191181146758,346205.21875,99548.390625,dunnhumby_80x4,2498,80,4,benchmark_expected_total,0,,,,,,,,,,,,,,,,,
lstm_base_dunnhumby_final_hpo_seed2024_sample,lstm_base,dunnhumby,final_hpo,2024.0,sample,strict,A,valendin_aggregate_mape_v1,14.356705665588379,9.263278007507324,0.8741228603410662,12.049700770271903,12.049703942139564,344.56667066263884,62910.0,70490.46675457805,12.049700770271903,12.049700770271903,14.229864996294397,14.229864996294397,12.049700770271903,12.049700770271903,12.049700770271903,1.0746411441694754,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,,,config,,none,256,256.0,full,249.0,256,256.0,True,,,60.0,150.0
lstm_base_dunnhumby_final_hpo_seed42_sample,lstm_base,dunnhumby,final_hpo,42.0,sample,strict,A,valendin_aggregate_mape_v1,13.74763011932373,8.529997825622559,0.8746966362520662,0.37969567069371957,-0.37969668971546655,144.73030006360602,62910.0,62671.13345356658,5.061304405339902,-0.37969567069371957,6.460629103758151,1.274075340308078,-0.37969567069371957,5.061304405339902,5.061304405339902,1.0267806217823263,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,,,config,,none,256,256.0,full,249.0,256,256.0,True,,,66.0,150.0
lstm_base_dunnhumby_final_hpo_seed7_sample,lstm_base,dunnhumby,final_hpo,7.0,sample,strict,A,valendin_aggregate_mape_v1,13.894519805908203,8.563624382019043,0.8742610720366456,1.0575953455787834,-1.0575934370529327,154.94242023033175,62910.0,62244.66676809639,5.4184283024436475,-1.0575953455787834,6.761829460691062,0.5662156174996233,-1.0575953455787834,5.4184283024436475,5.4184283024436475,1.0263696435686522,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,,,config,,none,256,256.0,full,249.0,256,256.0,True,,,69.0,150.0
lstm_base_dunnhumby_final_seed42_sample,lstm_base,dunnhumby,final,42.0,sample,strict,A,valendin_aggregate_mape_v1,13.74763011932373,8.529997825622559,0.8746966362520662,0.37969567069371957,-0.37969668971546655,144.73030006360602,62910.0,62671.13345356658,5.061304405339902,-0.37969567069371957,6.460629103758151,1.274075340308078,-0.37969567069371957,5.061304405339902,5.061304405339902,1.0267806217823263,,,,,,,,,,,,,,,,,,,,,,,,,,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,,,config,,none,256,256.0,full,249.0,256,256.0,True,,,66.0,150.0
lstm_joint_dunnhumby_final_hpo_seed2024_sample,lstm_joint,dunnhumby,final_hpo,2024.0,sample,strict,A,valendin_aggregate_mape_v1,14.044265747070312,8.920736312866211,0.8744819575145638,5.619562493491828,5.619560681926561,165.7515185587108,62910.0,66445.26676465571,5.796428879815034,5.619562493491828,7.7257150236069005,7.558519297289779,5.619562493491828,5.796428879815034,5.796428879815034,1.0538757081147603,305.88702392578125,482.8891906738281,0.8586780325191568,0.7520805597305298,1.2757792472839355,0.44779449701309204,6.196622850369833,6732.169323310919,1965992.2999520553,2087817.3011077559,7.533484496172854,6.196616393597853,6.196616393597853,9.530112751339962,8.362470777335517,6.196616393597874,7.533484496172854,1.126734730862068,299.72418212890625,473.270751953125,0.81886515035166,3.2818414209641755,0.859180229797737,1929812.75,2048412.75,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,1.3767053701933682,27.51521755817735,config,validation_teacher_forced,none,256,256.0,full,249.0,256,256.0,True,,,150.0,150.0
lstm_joint_dunnhumby_final_hpo_seed42_sample,lstm_joint,dunnhumby,final_hpo,42.0,sample,strict,A,valendin_aggregate_mape_v1,14.037367820739746,8.696304321289062,0.8713181584819661,2.0064114634154273,2.006412931171515,129.3378768749535,62910.0,64172.233451634645,4.523022240103286,2.0064114634154273,6.2042581548181905,3.801471791464727,2.0064114634154273,4.523022240103286,4.523022240103286,1.0438995485295026,297.0937194824219,455.4860534667969,0.8567800671314812,0.7533889412879944,1.2679436206817627,0.45455676317214966,-0.8281187273245864,5931.3498782653,1965992.2999520553,1949711.482629901,6.6373452899596215,0.8281221306182804,-0.8281221306182804,8.099753896561229,1.1605035940641761,-0.8281221306182606,6.6373452899596215,1.1109539364487135,291.1251525878906,446.33551025390625,0.8197044277930784,3.2676526887440778,0.8572648487526157,1929812.75,1913118.75,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,1.3342687910197646,27.51521755817735,config,validation_teacher_forced,none,256,256.0,full,249.0,256,256.0,True,,,150.0,150.0
lstm_joint_dunnhumby_final_hpo_seed7_sample,lstm_joint,dunnhumby,final_hpo,7.0,sample,strict,A,valendin_aggregate_mape_v1,13.994372367858887,8.687216758728027,0.8742306838355697,0.6542678285248612,-0.6542704856143697,143.32726948335767,62910.0,62498.40010907501,5.012239594077045,-0.6542678285248612,6.411255423610538,0.96383959136092,-0.6542678285248612,5.012239594077045,5.012239594077045,1.0407347241453255,292.26885986328125,443.95263671875,0.8602297983680709,0.7486104965209961,1.2685353755950928,0.45404762029647827,0.9803510161344736,5077.207202943606,1965992.2999520553,1985265.8934022645,5.6815359077186285,0.9803493864487237,0.9803493864487237,7.179538573115418,2.9670996433521846,0.9803493864487453,5.6815359077186285,1.1126152848944468,286.3636779785156,435.01458740234375,0.8240744872795703,3.279097798106051,0.8607600773393441,1929812.75,1948039.125,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,1.369468479449067,27.51521755817735,config,validation_teacher_forced,none,256,256.0,full,249.0,256,256.0,True,,,150.0,150.0
lstm_joint_dunnhumby_final_seed42_sample,lstm_joint,dunnhumby,final,42.0,sample,strict,A,valendin_aggregate_mape_v1,14.331914901733398,9.024953842163086,0.8711213551568615,4.249351087035624,4.249349268796694,149.84242647124285,62910.0,65583.26676885411,5.240078496848423,4.249351087035624,7.097700884490023,6.151314269710773,4.249351087035624,5.240078496848423,5.240078496848423,1.057290213256856,317.6991271972656,501.84613037109375,0.854988644766729,0.7747638821601868,1.3003785610198975,0.426294207572937,6.506021323329225,6867.446943738393,1965992.2999520553,2093900.1238942358,7.6848639115183275,6.50601856097299,6.50601856097299,9.790775059655429,8.75120081501533,6.506018560972997,7.6848639115183275,1.1500327984159275,311.23577880859375,491.69525146484375,0.8176344481977926,3.2709361171793248,0.8554842405368085,1929812.75,2054133.0,dunnhumby_configured_80x22,2498,80,22,sample,30,0.8235297098438245,1.437869369893832,27.51521755817735,config,validation_teacher_forced,none,256,256.0,full,249.0,256,256.0,True,,,150.0,150.0
